	Algorithm	F1	WS_F1	BS_F1	STD_F1	Rank F1	F2	WS_F2	BS_F2	STD_F2	Rank F2	F3	WS_F3	BS_F3	STD_F3	Rank F3	F4	WS_F4	BS_F4	STD_F4	Rank F4	F5	WS_F5	BS_F5	STD_F5	Rank F5	F6	WS_F6	BS_F6	STD_F6	Rank F6	F7	WS_F7	BS_F7	STD_F7	Rank F7	F8	WS_F8	BS_F8	STD_F8	Rank F8	F9	WS_F9	BS_F9	STD_F9	Rank F9	F10	WS_F10	BS_F10	STD_F10	Rank F10	F11	WS_F11	BS_F11	STD_F11	Rank F11	F12	WS_F12	BS_F12	STD_F12	Rank F12	F13	WS_F13	BS_F13	STD_F13	Rank F13	F14	WS_F14	BS_F14	STD_F14	Rank F14	F15	WS_F15	BS_F15	STD_F15	Rank F15	F16	WS_F16	BS_F16	STD_F16	Rank F16	F17	WS_F17	BS_F17	STD_F17	Rank F17	F18	WS_F18	BS_F18	STD_F18	Rank F18	F19	WS_F19	BS_F19	STD_F19	Rank F19	F20	WS_F20	BS_F20	STD_F20	Rank F20	F21	WS_F21	BS_F21	STD_F21	Rank F21	F22	WS_F22	BS_F22	STD_F22	Rank F22	F23	WS_F23	BS_F23	STD_F23	Rank F23	F24	WS_F24	BS_F24	STD_F24	Rank F24	F25	WS_F25	BS_F25	STD_F25	Rank F25	F26	WS_F26	BS_F26	STD_F26	Rank F26	F27	WS_F27	BS_F27	STD_F27	Rank F27	F28	WS_F28	BS_F28	STD_F28	Rank F28	Avg Rank
0	GWO	28885.042693927815	28885.042693927815	28885.042693927815	0.0	4	519394102.4884404	519394102.4884404	519394102.4884404	0.0	8	1756798684389.0376	1756798684389.0376	1756798684389.0376	0.0	6	117073.11078551484	117073.11078551484	117073.11078551484	0.0	2	8227.23590964886	8227.23590964886	8227.23590964886	0.0	9	3664.0237123548222	3664.0237123548222	3664.0237123548222	0.0	8	549.6300635241855	549.6300635241855	549.6300635241855	0.0	2	-678.8223621895061	-678.8223621895061	-678.8223621895061	0.0	4	-530.5384898314385	-530.5384898314385	-530.5384898314385	0.0	7	3318.474165169407	3318.474165169407	3318.474165169407	0.0	5	589.4507166734994	589.4507166734994	589.4507166734994	0.0	5	559.8212329732156	559.8212329732156	559.8212329732156	0.0	1	1141.6430164297205	1141.6430164297205	1141.6430164297205	0.0	9	11364.342055768793	11364.342055768793	11364.342055768793	0.0	7	14765.501994209779	14765.501994209779	14765.501994209779	0.0	11	204.21282873206687	204.21282873206687	204.21282873206687	0.0	10	1897.1444110353227	1897.1444110353227	1897.1444110353227	0.0	6	1935.216596981166	1935.216596981166	1935.216596981166	0.0	5	70520.70506645102	70520.70506645102	70520.70506645102	0.0	8	625.0	625.0	625.0	0.0	7	4647.697076644481	4647.697076644481	4647.697076644481	0.0	8	11491.085786640364	11491.085786640364	11491.085786640364	0.0	2	15385.712067952067	15385.712067952067	15385.712067952067	0.0	7	1380.036410226827	1380.036410226827	1380.036410226827	0.0	7	1481.4669252548633	1481.4669252548633	1481.4669252548633	0.0	5	1668.6162545885647	1668.6162545885647	1668.6162545885647	0.0	2	3206.227055873207	3206.227055873207	3206.227055873207	0.0	2	9988.162127966118	9988.162127966118	9988.162127966118	0.0	10	5.964285714285714
1	EEGWO	24245.254852728973	24245.254852728973	24245.254852728973	0.0	2	123948123.65332726	123948123.65332726	123948123.65332726	0.0	2	1478497649412.3884	1478497649412.3884	1478497649412.3884	0.0	5	122890.31140920048	122890.31140920048	122890.31140920048	0.0	3	1989.3484999692869	1989.3484999692869	1989.3484999692869	0.0	2	1626.692497846665	1626.692497846665	1626.692497846665	0.0	2	1793.891042291495	1793.891042291495	1793.891042291495	0.0	5	-678.7930190254527	-678.7930190254527	-678.7930190254527	0.0	10	-523.6552730989949	-523.6552730989949	-523.6552730989949	0.0	13	3869.029616045871	3869.029616045871	3869.029616045871	0.0	7	377.41722134866427	377.41722134866427	377.41722134866427	0.0	1	937.4559882839483	937.4559882839483	937.4559882839483	0.0	9	835.6136039295309	835.6136039295309	835.6136039295309	0.0	1	14094.228519449945	14094.228519449945	14094.228519449945	0.0	10	14562.142541640347	14562.142541640347	14562.142541640347	0.0	10	203.995202431885	203.995202431885	203.995202431885	0.0	6	1638.2257757966604	1638.2257757966604	1638.2257757966604	0.0	2	1684.0519482748846	1684.0519482748846	1684.0519482748846	0.0	1	24301.957773166763	24301.957773166763	24301.957773166763	0.0	3	624.6964870131357	624.6964870131357	624.6964870131357	0.0	1	4402.292018221889	4402.292018221889	4402.292018221889	0.0	2	15874.69615252733	15874.69615252733	15874.69615252733	0.0	12	16121.396634312587	16121.396634312587	16121.396634312587	0.0	11	1390.4031388213784	1390.4031388213784	1390.4031388213784	0.0	10	1496.5173788106351	1496.5173788106351	1496.5173788106351	0.0	11	1663.2401875986402	1663.2401875986402	1663.2401875986402	0.0	1	3387.73988927356	3387.73988927356	3387.73988927356	0.0	6	8413.250163502906	8413.250163502906	8413.250163502906	0.0	1	5.321428571428571
2	IGWO	34513.786295021695	34513.786295021695	34513.786295021695	0.0	7	508172552.1994685	508172552.1994685	508172552.1994685	0.0	7	2823268997332.2046	2823268997332.2046	2823268997332.2046	0.0	9	126102.88357403768	126102.88357403768	126102.88357403768	0.0	4	8143.017607285297	8143.017607285297	8143.017607285297	0.0	8	2984.6179118055024	2984.6179118055024	2984.6179118055024	0.0	6	1046.3360477055164	1046.3360477055164	1046.3360477055164	0.0	4	-678.8412027410599	-678.8412027410599	-678.8412027410599	0.0	2	-531.204682334675	-531.204682334675	-531.204682334675	0.0	6	3894.0279421644873	3894.0279421644873	3894.0279421644873	0.0	8	599.6777515539387	599.6777515539387	599.6777515539387	0.0	6	603.0396950313286	603.0396950313286	603.0396950313286	0.0	3	1006.2336671635342	1006.2336671635342	1006.2336671635342	0.0	6	12659.732183484777	12659.732183484777	12659.732183484777	0.0	9	12744.046844884955	12744.046844884955	12744.046844884955	0.0	5	204.34741261489606	204.34741261489606	204.34741261489606	0.0	11	1681.3602713228784	1681.3602713228784	1681.3602713228784	0.0	3	1816.1960829744064	1816.1960829744064	1816.1960829744064	0.0	2	70827.60430886543	70827.60430886543	70827.60430886543	0.0	9	625.0	625.0	625.0	0.0	7	4602.216494790737	4602.216494790737	4602.216494790737	0.0	6	12230.000102752208	12230.000102752208	12230.000102752208	0.0	4	16117.265952012687	16117.265952012687	16117.265952012687	0.0	10	1365.792583486025	1365.792583486025	1365.792583486025	0.0	3	1461.820688427279	1461.820688427279	1461.820688427279	0.0	1	1673.3673668351073	1673.3673668351073	1673.3673668351073	0.0	5	3467.6227457306736	3467.6227457306736	3467.6227457306736	0.0	9	9543.442085668314	9543.442085668314	9543.442085668314	0.0	6	5.928571428571429
3	NGWO	88306.62119930358	88306.62119930358	88306.62119930358	0.0	12	2206781317.5119367	2206781317.5119367	2206781317.5119367	0.0	12	7233700853133676.0	7233700853133676.0	7233700853133676.0	0.0	12	195594.03515892316	195594.03515892316	195594.03515892316	0.0	13	52779.74680621041	52779.74680621041	52779.74680621041	0.0	12	14763.378302444822	14763.378302444822	14763.378302444822	0.0	13	37632.937403648146	37632.937403648146	37632.937403648146	0.0	10	-678.768246496409	-678.768246496409	-678.768246496409	0.0	12	-527.071081495294	-527.071081495294	-527.071081495294	0.0	11	12344.185907581168	12344.185907581168	12344.185907581168	0.0	12	954.375902815214	954.375902815214	954.375902815214	0.0	12	1228.3452779936545	1228.3452779936545	1228.3452779936545	0.0	12	1190.015876022144	1190.015876022144	1190.015876022144	0.0	10	15209.045881185662	15209.045881185662	15209.045881185662	0.0	13	14550.126946756674	14550.126946756674	14550.126946756674	0.0	9	204.66954736596836	204.66954736596836	204.66954736596836	0.0	13	2149.6071031195893	2149.6071031195893	2149.6071031195893	0.0	11	2275.431250474685	2275.431250474685	2275.431250474685	0.0	11	1529376.6294843592	1529376.6294843592	1529376.6294843592	0.0	13	625.0	625.0	625.0	0.0	7	5415.710561792492	5415.710561792492	5415.710561792492	0.0	15	16884.535606617792	16884.535606617792	16884.535606617792	0.0	13	15568.909883877575	15568.909883877575	15568.909883877575	0.0	8	1418.5369559369797	1418.5369559369797	1418.5369559369797	0.0	12	1496.2223000656004	1496.2223000656004	1496.2223000656004	0.0	10	1723.3115529376428	1723.3115529376428	1723.3115529376428	0.0	12	3803.285782450112	3803.285782450112	3803.285782450112	0.0	11	12396.403830255038	12396.403830255038	12396.403830255038	0.0	13	11.571428571428571
4	LFGWO	29203.41022306832	29203.41022306832	29203.41022306832	0.0	5	370448866.6918063	370448866.6918063	370448866.6918063	0.0	5	492363826672.21405	492363826672.21405	492363826672.21405	0.0	3	126703.62588044516	126703.62588044516	126703.62588044516	0.0	6	7317.33260861628	7317.33260861628	7317.33260861628	0.0	6	2702.8449358108164	2702.8449358108164	2702.8449358108164	0.0	5	517.0029957496624	517.0029957496624	517.0029957496624	0.0	1	-678.8227209551611	-678.8227209551611	-678.8227209551611	0.0	3	-533.2523672229104	-533.2523672229104	-533.2523672229104	0.0	4	3420.899215423402	3420.899215423402	3420.899215423402	0.0	6	536.3965920911482	536.3965920911482	536.3965920911482	0.0	3	724.9401744124468	724.9401744124468	724.9401744124468	0.0	7	1092.6059661255588	1092.6059661255588	1092.6059661255588	0.0	8	10724.772340115425	10724.772340115425	10724.772340115425	0.0	4	12266.826502871707	12266.826502871707	12266.826502871707	0.0	3	203.64284966101508	203.64284966101508	203.64284966101508	0.0	4	1727.2014606042999	1727.2014606042999	1727.2014606042999	0.0	5	1871.8890233266225	1871.8890233266225	1871.8890233266225	0.0	4	69411.16432896248	69411.16432896248	69411.16432896248	0.0	7	625.0	625.0	625.0	0.0	7	4701.2124028091275	4701.2124028091275	4701.2124028091275	0.0	10	14235.637973563578	14235.637973563578	14235.637973563578	0.0	8	13812.493492973705	13812.493492973705	13812.493492973705	0.0	3	1374.821831339003	1374.821831339003	1374.821831339003	0.0	6	1485.73502100307	1485.73502100307	1485.73502100307	0.0	8	1668.664874717844	1668.664874717844	1668.664874717844	0.0	3	3399.1265836602506	3399.1265836602506	3399.1265836602506	0.0	7	9263.664042792281	9263.664042792281	9263.664042792281	0.0	5	5.214285714285714
5	AgGWO	46200.51874024441	46200.51874024441	46200.51874024441	0.0	8	243793151.0928197	243793151.0928197	243793151.0928197	0.0	3	969708771494.0103	969708771494.0103	969708771494.0103	0.0	4	111492.20732683416	111492.20732683416	111492.20732683416	0.0	1	3082.696401515807	3082.696401515807	3082.696401515807	0.0	3	2484.97745695872	2484.97745695872	2484.97745695872	0.0	4	22604.402204296737	22604.402204296737	22604.402204296737	0.0	8	-678.8036213367258	-678.8036213367258	-678.8036213367258	0.0	7	-532.7301147948006	-532.7301147948006	-532.7301147948006	0.0	5	2129.7342259318575	2129.7342259318575	2129.7342259318575	0.0	2	703.3284083662265	703.3284083662265	703.3284083662265	0.0	8	671.5472100380684	671.5472100380684	671.5472100380684	0.0	5	922.8185304517126	922.8185304517126	922.8185304517126	0.0	3	11819.514624415726	11819.514624415726	11819.514624415726	0.0	8	11887.372463584734	11887.372463584734	11887.372463584734	0.0	2	203.60016697662837	203.60016697662837	203.60016697662837	0.0	3	2040.1605576753577	2040.1605576753577	2040.1605576753577	0.0	8	2100.607295092855	2100.607295092855	2100.607295092855	0.0	8	17839.1802432222	17839.1802432222	17839.1802432222	0.0	2	625.0	625.0	625.0	0.0	7	4586.311412568353	4586.311412568353	4586.311412568353	0.0	5	14104.104055005957	14104.104055005957	14104.104055005957	0.0	7	13981.716070687575	13981.716070687575	13981.716070687575	0.0	4	1382.3213726599047	1382.3213726599047	1382.3213726599047	0.0	8	1486.0521277175135	1486.0521277175135	1486.0521277175135	0.0	9	1672.6467241764599	1672.6467241764599	1672.6467241764599	0.0	4	3533.5500233682014	3533.5500233682014	3533.5500233682014	0.0	10	9619.839015107933	9619.839015107933	9619.839015107933	0.0	7	5.464285714285714
6	VMGWO	60331.32230693895	60331.32230693895	60331.32230693895	0.0	10	379044349.2121603	379044349.2121603	379044349.2121603	0.0	6	2015463925206.714	2015463925206.714	2015463925206.714	0.0	7	266314.4010753972	266314.4010753972	266314.4010753972	0.0	15	4923.663636004829	4923.663636004829	4923.663636004829	0.0	5	5333.496176577036	5333.496176577036	5333.496176577036	0.0	9	48461.67832659404	48461.67832659404	48461.67832659404	0.0	11	-678.7611613146546	-678.7611613146546	-678.7611613146546	0.0	14	-529.9260640261881	-529.9260640261881	-529.9260640261881	0.0	9	5482.61258666719	5482.61258666719	5482.61258666719	0.0	10	810.7622659189317	810.7622659189317	810.7622659189317	0.0	9	615.5042863796206	615.5042863796206	615.5042863796206	0.0	4	929.0114399127704	929.0114399127704	929.0114399127704	0.0	4	10943.404226120118	10943.404226120118	10943.404226120118	0.0	5	13570.34695191411	13570.34695191411	13570.34695191411	0.0	7	203.9706750978212	203.9706750978212	203.9706750978212	0.0	5	2121.1037935663053	2121.1037935663053	2121.1037935663053	0.0	10	2125.7531749228583	2125.7531749228583	2125.7531749228583	0.0	10	66020.02761957055	66020.02761957055	66020.02761957055	0.0	6	625.0	625.0	625.0	0.0	7	4639.129220646551	4639.129220646551	4639.129220646551	0.0	7	12714.388026442644	12714.388026442644	12714.388026442644	0.0	5	13315.600639581586	13315.600639581586	13315.600639581586	0.0	2	1354.3155921389186	1354.3155921389186	1354.3155921389186	0.0	1	1484.4225537653024	1484.4225537653024	1484.4225537653024	0.0	7	1691.1177471724718	1691.1177471724718	1691.1177471724718	0.0	10	3424.2823741301763	3424.2823741301763	3424.2823741301763	0.0	8	9966.782281339974	9966.782281339974	9966.782281339974	0.0	9	7.571428571428571
7	TLFGWO	92239.7002699709	92239.7002699709	92239.7002699709	0.0	13	2914069115.707325	2914069115.707325	2914069115.707325	0.0	13	6.458425130669543e+19	6.458425130669543e+19	6.458425130669543e+19	0.0	14	135670.98683139242	135670.98683139242	135670.98683139242	0.0	8	64263.79107742818	64263.79107742818	64263.79107742818	0.0	13	11870.599229864007	11870.599229864007	11870.599229864007	0.0	11	117421.95268558609	117421.95268558609	117421.95268558609	0.0	12	-678.7992449544406	-678.7992449544406	-678.7992449544406	0.0	8	-529.6637914481765	-529.6637914481765	-529.6637914481765	0.0	10	12402.344170933118	12402.344170933118	12402.344170933118	0.0	13	1127.2003505700138	1127.2003505700138	1127.2003505700138	0.0	13	1311.7853359715318	1311.7853359715318	1311.7853359715318	0.0	13	1353.6505540416845	1353.6505540416845	1353.6505540416845	0.0	13	14260.301272149929	14260.301272149929	14260.301272149929	0.0	11	14810.027572761177	14810.027572761177	14810.027572761177	0.0	12	204.1175178293632	204.1175178293632	204.1175178293632	0.0	7	2162.7835797073894	2162.7835797073894	2162.7835797073894	0.0	12	2311.715521759359	2311.715521759359	2311.715521759359	0.0	12	2053854.9526105246	2053854.9526105246	2053854.9526105246	0.0	15	624.9999999875213	624.9999999875213	624.9999999875213	0.0	4	5247.185590633499	5247.185590633499	5247.185590633499	0.0	12	15873.941337066668	15873.941337066668	15873.941337066668	0.0	11	17003.180038378712	17003.180038378712	17003.180038378712	0.0	12	1412.8131386203388	1412.8131386203388	1412.8131386203388	0.0	11	1515.1763540796248	1515.1763540796248	1515.1763540796248	0.0	13	1753.718046199669	1753.718046199669	1753.718046199669	0.0	13	3897.961854055287	3897.961854055287	3897.961854055287	0.0	13	12077.316288639784	12077.316288639784	12077.316288639784	0.0	11	11.535714285714286
8	IGWO_DSR	100213.98021006241	100213.98021006241	100213.98021006241	0.0	14	3367221007.619457	3367221007.619457	3367221007.619457	0.0	15	9.189445775234836e+19	9.189445775234836e+19	9.189445775234836e+19	0.0	15	157633.56919036558	157633.56919036558	157633.56919036558	0.0	11	130727.4008444699	130727.4008444699	130727.4008444699	0.0	15	21371.466379390087	21371.466379390087	21371.466379390087	0.0	15	23963322.121717136	23963322.121717136	23963322.121717136	0.0	15	-678.9024020956322	-678.9024020956322	-678.9024020956322	0.0	1	-516.5518193477586	-516.5518193477586	-516.5518193477586	0.0	15	15748.93457544339	15748.93457544339	15748.93457544339	0.0	15	1318.7929209381787	1318.7929209381787	1318.7929209381787	0.0	14	1365.113231076157	1365.113231076157	1365.113231076157	0.0	14	1509.365651938244	1509.365651938244	1509.365651938244	0.0	15	16055.054993637787	16055.054993637787	16055.054993637787	0.0	15	16741.024339651696	16741.024339651696	16741.024339651696	0.0	15	205.6059361272239	205.6059361272239	205.6059361272239	0.0	15	2292.0590527105296	2292.0590527105296	2292.0590527105296	0.0	14	2401.234447931363	2401.234447931363	2401.234447931363	0.0	14	1775970.1448039734	1775970.1448039734	1775970.1448039734	0.0	14	624.9999999999792	624.9999999999792	624.9999999999792	0.0	6	5323.287531599539	5323.287531599539	5323.287531599539	0.0	14	17379.98188192156	17379.98188192156	17379.98188192156	0.0	14	17874.154841290503	17874.154841290503	17874.154841290503	0.0	15	1584.5934538687325	1584.5934538687325	1584.5934538687325	0.0	14	1768.0022309583906	1768.0022309583906	1768.0022309583906	0.0	14	1872.2648439500656	1872.2648439500656	1872.2648439500656	0.0	14	4818.617676900579	4818.617676900579	4818.617676900579	0.0	14	14959.476127698554	14959.476127698554	14959.476127698554	0.0	15	13.607142857142858
9	AGWO	104484.79242863863	104484.79242863863	104484.79242863863	0.0	15	3304851816.441448	3304851816.441448	3304851816.441448	0.0	14	2.716812014663491e+18	2.716812014663491e+18	2.716812014663491e+18	0.0	13	169247.78213549292	169247.78213549292	169247.78213549292	0.0	12	82287.89756690744	82287.89756690744	82287.89756690744	0.0	14	17075.75328207409	17075.75328207409	17075.75328207409	0.0	14	1295073.2393343796	1295073.2393343796	1295073.2393343796	0.0	14	-678.7462780933067	-678.7462780933067	-678.7462780933067	0.0	15	-516.9642856466672	-516.9642856466672	-516.9642856466672	0.0	14	15611.068695025417	15611.068695025417	15611.068695025417	0.0	14	1441.8970485863197	1441.8970485863197	1441.8970485863197	0.0	15	1380.6319016973755	1380.6319016973755	1380.6319016973755	0.0	15	1429.2166034634565	1429.2166034634565	1429.2166034634565	0.0	14	15798.330972468248	15798.330972468248	15798.330972468248	0.0	14	16042.285247021682	16042.285247021682	16042.285247021682	0.0	14	204.911775713379	204.911775713379	204.911775713379	0.0	14	2332.0591022809513	2332.0591022809513	2332.0591022809513	0.0	15	2416.987897993919	2416.987897993919	2416.987897993919	0.0	15	928697.6619267685	928697.6619267685	928697.6619267685	0.0	12	624.999999999929	624.999999999929	624.999999999929	0.0	5	5291.903105781294	5291.903105781294	5291.903105781294	0.0	13	17511.714640750324	17511.714640750324	17511.714640750324	0.0	15	17561.957972030676	17561.957972030676	17561.957972030676	0.0	14	1584.5934538687325	1584.5934538687325	1584.5934538687325	0.0	14	1768.0022309583906	1768.0022309583906	1768.0022309583906	0.0	14	1872.2648439500656	1872.2648439500656	1872.2648439500656	0.0	14	4818.617676900579	4818.617676900579	4818.617676900579	0.0	14	13790.979148221923	13790.979148221923	13790.979148221923	0.0	14	13.714285714285714
