	Algorithm	F1	WS_F1	BS_F1	STD_F1	Rank F1	F2	WS_F2	BS_F2	STD_F2	Rank F2	F3	WS_F3	BS_F3	STD_F3	Rank F3	F4	WS_F4	BS_F4	STD_F4	Rank F4	F5	WS_F5	BS_F5	STD_F5	Rank F5	F6	WS_F6	BS_F6	STD_F6	Rank F6	F7	WS_F7	BS_F7	STD_F7	Rank F7	F8	WS_F8	BS_F8	STD_F8	Rank F8	F9	WS_F9	BS_F9	STD_F9	Rank F9	F10	WS_F10	BS_F10	STD_F10	Rank F10	F11	WS_F11	BS_F11	STD_F11	Rank F11	F12	WS_F12	BS_F12	STD_F12	Rank F12	F13	WS_F13	BS_F13	STD_F13	Rank F13	F14	WS_F14	BS_F14	STD_F14	Rank F14	F15	WS_F15	BS_F15	STD_F15	Rank F15	F16	WS_F16	BS_F16	STD_F16	Rank F16	F17	WS_F17	BS_F17	STD_F17	Rank F17	F18	WS_F18	BS_F18	STD_F18	Rank F18	F19	WS_F19	BS_F19	STD_F19	Rank F19	F20	WS_F20	BS_F20	STD_F20	Rank F20	F21	WS_F21	BS_F21	STD_F21	Rank F21	F22	WS_F22	BS_F22	STD_F22	Rank F22	F23	WS_F23	BS_F23	STD_F23	Rank F23	F24	WS_F24	BS_F24	STD_F24	Rank F24	F25	WS_F25	BS_F25	STD_F25	Rank F25	F26	WS_F26	BS_F26	STD_F26	Rank F26	F27	WS_F27	BS_F27	STD_F27	Rank F27	F28	WS_F28	BS_F28	STD_F28	Rank F28	Avg Rank
0	GWO	49251.78220029333	49251.78220029333	49251.78220029333	0.0	7	787447956.1707963	787447956.1707963	787447956.1707963	0.0	9	57553443872303.3	57553443872303.3	57553443872303.3	0.0	8	256665.29140576802	256665.29140576802	256665.29140576802	0.0	14	9983.636081209053	9983.636081209053	9983.636081209053	0.0	3	7073.969241259951	7073.969241259951	7073.969241259951	0.0	10	25356.8702329528	25356.8702329528	25356.8702329528	0.0	7	-678.8010174312459	-678.8010174312459	-678.8010174312459	0.0	7	-532.5265547326818	-532.5265547326818	-532.5265547326818	0.0	7	4780.632009728494	4780.632009728494	4780.632009728494	0.0	6	1124.787907984113	1124.787907984113	1124.787907984113	0.0	8	907.9115841920602	907.9115841920602	907.9115841920602	0.0	6	883.8617199853691	883.8617199853691	883.8617199853691	0.0	3	12063.205710627331	12063.205710627331	12063.205710627331	0.0	5	12849.359916337417	12849.359916337417	12849.359916337417	0.0	6	203.67344099807227	203.67344099807227	203.67344099807227	0.0	4	2019.7367231686208	2019.7367231686208	2019.7367231686208	0.0	9	2053.011468549853	2053.011468549853	2053.011468549853	0.0	6	251359.6737430056	251359.6737430056	251359.6737430056	0.0	10	625.0	625.0	625.0	0.0	6	4695.192533078133	4695.192533078133	4695.192533078133	0.0	6	13484.662713185222	13484.662713185222	13484.662713185222	0.0	6	13592.391474282698	13592.391474282698	13592.391474282698	0.0	3	1373.1321928926818	1373.1321928926818	1373.1321928926818	0.0	2	1480.7121242148214	1480.7121242148214	1480.7121242148214	0.0	5	1671.4160065678725	1671.4160065678725	1671.4160065678725	0.0	3	3509.2470661075854	3509.2470661075854	3509.2470661075854	0.0	9	10195.257542806823	10195.257542806823	10195.257542806823	0.0	7	6.5
1	EEGWO	47705.86423318668	47705.86423318668	47705.86423318668	0.0	5	651573103.41912	651573103.41912	651573103.41912	0.0	6	2204277843621.1675	2204277843621.1675	2204277843621.1675	0.0	2	138069.57737106035	138069.57737106035	138069.57737106035	0.0	2	4022.8204064129177	4022.8204064129177	4022.8204064129177	0.0	2	3591.494581362158	3591.494581362158	3591.494581362158	0.0	2	-282.98526313776927	-282.98526313776927	-282.98526313776927	0.0	1	-678.7794957077566	-678.7794957077566	-678.7794957077566	0.0	12	-533.3689951840618	-533.3689951840618	-533.3689951840618	0.0	4	4578.088024107125	4578.088024107125	4578.088024107125	0.0	5	910.3505753897373	910.3505753897373	910.3505753897373	0.0	3	948.8425838035396	948.8425838035396	948.8425838035396	0.0	9	1019.5863799927154	1019.5863799927154	1019.5863799927154	0.0	6	14584.730397578005	14584.730397578005	14584.730397578005	0.0	10	12432.770135006056	12432.770135006056	12432.770135006056	0.0	4	203.88359670070645	203.88359670070645	203.88359670070645	0.0	6	1704.878714992176	1704.878714992176	1704.878714992176	0.0	1	1916.9248423716563	1916.9248423716563	1916.9248423716563	0.0	2	54750.724180702266	54750.724180702266	54750.724180702266	0.0	3	624.5803722697599	624.5803722697599	624.5803722697599	0.0	1	4485.9067002927095	4485.9067002927095	4485.9067002927095	0.0	4	14449.750668404933	14449.750668404933	14449.750668404933	0.0	10	15529.881235552994	15529.881235552994	15529.881235552994	0.0	10	1385.6016586718742	1385.6016586718742	1385.6016586718742	0.0	6	1481.8942244104287	1481.8942244104287	1481.8942244104287	0.0	6	1674.3846894725339	1674.3846894725339	1674.3846894725339	0.0	4	3466.478950571988	3466.478950571988	3466.478950571988	0.0	8	9095.242816187367	9095.242816187367	9095.242816187367	0.0	3	4.892857142857143
2	IGWO	36822.285400470864	36822.285400470864	36822.285400470864	0.0	3	657001314.9118292	657001314.9118292	657001314.9118292	0.0	7	9146663845213.088	9146663845213.088	9146663845213.088	0.0	5	263125.32956115424	263125.32956115424	263125.32956115424	0.0	15	27958.55191154355	27958.55191154355	27958.55191154355	0.0	10	6312.673206496571	6312.673206496571	6312.673206496571	0.0	8	24226.81861936693	24226.81861936693	24226.81861936693	0.0	6	-678.8040747468422	-678.8040747468422	-678.8040747468422	0.0	5	-532.5797250156065	-532.5797250156065	-532.5797250156065	0.0	6	4916.2084217825595	4916.2084217825595	4916.2084217825595	0.0	7	1152.427872659548	1152.427872659548	1152.427872659548	0.0	9	868.385634915918	868.385634915918	868.385634915918	0.0	3	928.8701957515514	928.8701957515514	928.8701957515514	0.0	4	10620.938554121703	10620.938554121703	10620.938554121703	0.0	2	11428.55098083782	11428.55098083782	11428.55098083782	0.0	2	203.68322421206443	203.68322421206443	203.68322421206443	0.0	5	2000.5101290796838	2000.5101290796838	2000.5101290796838	0.0	8	2005.9467523866797	2005.9467523866797	2005.9467523866797	0.0	4	129832.91486324987	129832.91486324987	129832.91486324987	0.0	7	625.0	625.0	625.0	0.0	6	4756.525735496766	4756.525735496766	4756.525735496766	0.0	7	12312.483929707329	12312.483929707329	12312.483929707329	0.0	3	14231.559333681804	14231.559333681804	14231.559333681804	0.0	4	1386.627051008383	1386.627051008383	1386.627051008383	0.0	7	1483.403188026941	1483.403188026941	1483.403188026941	0.0	7	1691.7993210921666	1691.7993210921666	1691.7993210921666	0.0	9	3449.3874342461227	3449.3874342461227	3449.3874342461227	0.0	7	9966.316174057918	9966.316174057918	9966.316174057918	0.0	6	6.142857142857143
3	NGWO	88306.62135170083	88306.62135170083	88306.62135170083	0.0	12	2928115708.0759764	2928115708.0759764	2928115708.0759764	0.0	13	2.5200037081700536e+18	2.5200037081700536e+18	2.5200037081700536e+18	0.0	12	181463.92075705802	181463.92075705802	181463.92075705802	0.0	7	93059.00607232003	93059.00607232003	93059.00607232003	0.0	14	14264.718945762901	14264.718945762901	14264.718945762901	0.0	12	1126706.4238320072	1126706.4238320072	1126706.4238320072	0.0	13	-678.7590412005424	-678.7590412005424	-678.7590412005424	0.0	14	-523.0364647170044	-523.0364647170044	-523.0364647170044	0.0	12	12879.147909494837	12879.147909494837	12879.147909494837	0.0	13	1173.2820635069443	1173.2820635069443	1173.2820635069443	0.0	10	1154.6134557454918	1154.6134557454918	1154.6134557454918	0.0	12	1308.9802284529294	1308.9802284529294	1308.9802284529294	0.0	12	14042.014276570748	14042.014276570748	14042.014276570748	0.0	9	13766.27287657772	13766.27287657772	13766.27287657772	0.0	9	202.77455437971443	202.77455437971443	202.77455437971443	0.0	1	2953.452709036906	2953.452709036906	2953.452709036906	0.0	15	2138.380410630276	2138.380410630276	2138.380410630276	0.0	9	1534664.6157202246	1534664.6157202246	1534664.6157202246	0.0	13	625.0	625.0	625.0	0.0	6	5428.107178538719	5428.107178538719	5428.107178538719	0.0	14	16066.291624859557	16066.291624859557	16066.291624859557	0.0	11	17162.8323297472	17162.8323297472	17162.8323297472	0.0	12	1396.1355657537824	1396.1355657537824	1396.1355657537824	0.0	11	1519.4102269828222	1519.4102269828222	1519.4102269828222	0.0	12	1734.2112210114165	1734.2112210114165	1734.2112210114165	0.0	13	3725.4611337753386	3725.4611337753386	3725.4611337753386	0.0	12	12326.053592398443	12326.053592398443	12326.053592398443	0.0	11	11.214285714285714
4	LFGWO	44934.42094336659	44934.42094336659	44934.42094336659	0.0	4	670811609.045074	670811609.045074	670811609.045074	0.0	8	18242822637818.34	18242822637818.34	18242822637818.34	0.0	6	224127.1811083832	224127.1811083832	224127.1811083832	0.0	11	11081.421014287369	11081.421014287369	11081.421014287369	0.0	8	6640.895239263214	6640.895239263214	6640.895239263214	0.0	9	27499.240382372616	27499.240382372616	27499.240382372616	0.0	8	-678.7950804262807	-678.7950804262807	-678.7950804262807	0.0	9	-531.4187814845401	-531.4187814845401	-531.4187814845401	0.0	9	4360.1215873579595	4360.1215873579595	4360.1215873579595	0.0	4	1174.4801565847008	1174.4801565847008	1174.4801565847008	0.0	11	895.8901976876152	895.8901976876152	895.8901976876152	0.0	5	882.9763218675678	882.9763218675678	882.9763218675678	0.0	2	11240.11409495925	11240.11409495925	11240.11409495925	0.0	3	11548.869979908237	11548.869979908237	11548.869979908237	0.0	3	204.36199737017833	204.36199737017833	204.36199737017833	0.0	11	2050.514340796938	2050.514340796938	2050.514340796938	0.0	10	2118.9500738379347	2118.9500738379347	2118.9500738379347	0.0	7	87493.02847403332	87493.02847403332	87493.02847403332	0.0	5	625.0	625.0	625.0	0.0	6	4694.167450188978	4694.167450188978	4694.167450188978	0.0	5	12258.740300335949	12258.740300335949	12258.740300335949	0.0	2	14460.288602293323	14460.288602293323	14460.288602293323	0.0	6	1380.5496539340122	1380.5496539340122	1380.5496539340122	0.0	5	1488.5948965303514	1488.5948965303514	1488.5948965303514	0.0	8	1692.5692629104092	1692.5692629104092	1692.5692629104092	0.0	10	3524.83779529634	3524.83779529634	3524.83779529634	0.0	10	10245.937879831808	10245.937879831808	10245.937879831808	0.0	8	6.892857142857143
5	AgGWO	47884.23526550767	47884.23526550767	47884.23526550767	0.0	6	254508951.71739808	254508951.71739808	254508951.71739808	0.0	2	2699108325909.581	2699108325909.581	2699108325909.581	0.0	3	206541.0132687304	206541.0132687304	206541.0132687304	0.0	9	10537.074488901992	10537.074488901992	10537.074488901992	0.0	7	5962.333049199947	5962.333049199947	5962.333049199947	0.0	7	12040.60578384581	12040.60578384581	12040.60578384581	0.0	4	-678.8212598945232	-678.8212598945232	-678.8212598945232	0.0	4	-530.1538003429364	-530.1538003429364	-530.1538003429364	0.0	10	3332.39594050026	3332.39594050026	3332.39594050026	0.0	2	1010.0885874384751	1010.0885874384751	1010.0885874384751	0.0	5	883.9139898318017	883.9139898318017	883.9139898318017	0.0	4	945.7227207445121	945.7227207445121	945.7227207445121	0.0	5	11825.119852025613	11825.119852025613	11825.119852025613	0.0	4	12618.868303075344	12618.868303075344	12618.868303075344	0.0	5	204.2658179328876	204.2658179328876	204.2658179328876	0.0	9	1716.5680392797763	1716.5680392797763	1716.5680392797763	0.0	2	2152.9116592991613	2152.9116592991613	2152.9116592991613	0.0	10	87174.20535236536	87174.20535236536	87174.20535236536	0.0	4	625.0	625.0	625.0	0.0	6	4467.3411986333995	4467.3411986333995	4467.3411986333995	0.0	2	14288.98914190431	14288.98914190431	14288.98914190431	0.0	8	15036.614747270087	15036.614747270087	15036.614747270087	0.0	9	1395.2042147283898	1395.2042147283898	1395.2042147283898	0.0	10	1493.4480943954263	1493.4480943954263	1493.4480943954263	0.0	10	1677.2466466962421	1677.2466466962421	1677.2466466962421	0.0	6	3273.7967247348797	3273.7967247348797	3273.7967247348797	0.0	3	9557.89256438051	9557.89256438051	9557.89256438051	0.0	5	5.75
6	VMGWO	57156.48583944055	57156.48583944055	57156.48583944055	0.0	9	419970581.53733414	419970581.53733414	419970581.53733414	0.0	3	155202792533295.94	155202792533295.94	155202792533295.94	0.0	9	222518.6310920408	222518.6310920408	222518.6310920408	0.0	10	11769.350189106824	11769.350189106824	11769.350189106824	0.0	9	4038.9063392639746	4038.9063392639746	4038.9063392639746	0.0	4	174160.33548577692	174160.33548577692	174160.33548577692	0.0	10	-678.79462214264	-678.79462214264	-678.79462214264	0.0	10	-532.3747696028503	-532.3747696028503	-532.3747696028503	0.0	8	6247.512496166783	6247.512496166783	6247.512496166783	0.0	10	1075.4986106145943	1075.4986106145943	1075.4986106145943	0.0	7	957.7991874761665	957.7991874761665	957.7991874761665	0.0	10	1226.892264811709	1226.892264811709	1226.892264811709	0.0	11	13107.407322193709	13107.407322193709	13107.407322193709	0.0	7	14628.268556031973	14628.268556031973	14628.268556031973	0.0	12	204.55803792838375	204.55803792838375	204.55803792838375	0.0	12	1727.4605170559935	1727.4605170559935	1727.4605170559935	0.0	3	2235.669325388065	2235.669325388065	2235.669325388065	0.0	12	161429.83654532584	161429.83654532584	161429.83654532584	0.0	8	625.0	625.0	625.0	0.0	6	4803.723940297184	4803.723940297184	4803.723940297184	0.0	8	14318.159442344555	14318.159442344555	14318.159442344555	0.0	9	15551.85665069862	15551.85665069862	15551.85665069862	0.0	11	1376.0176615334021	1376.0176615334021	1376.0176615334021	0.0	3	1475.207807177038	1475.207807177038	1475.207807177038	0.0	3	1688.3450078178835	1688.3450078178835	1688.3450078178835	0.0	8	3293.7696691264136	3293.7696691264136	3293.7696691264136	0.0	4	11828.03292683163	11828.03292683163	11828.03292683163	0.0	10	8.071428571428571
7	TLFGWO	92239.7002699709	92239.7002699709	92239.7002699709	0.0	13	2583098616.8766236	2583098616.8766236	2583098616.8766236	0.0	12	2.3174818049064866e+19	2.3174818049064866e+19	2.3174818049064866e+19	0.0	14	145256.3191252184	145256.3191252184	145256.3191252184	0.0	5	80606.40253330451	80606.40253330451	80606.40253330451	0.0	12	14062.054934353484	14062.054934353484	14062.054934353484	0.0	11	458646.8557765853	458646.8557765853	458646.8557765853	0.0	12	-678.7919930849783	-678.7919930849783	-678.7919930849783	0.0	11	-534.75360182936	-534.75360182936	-534.75360182936	0.0	3	12709.122657863558	12709.122657863558	12709.122657863558	0.0	12	1444.0643620289966	1444.0643620289966	1444.0643620289966	0.0	14	1312.382892984874	1312.382892984874	1312.382892984874	0.0	13	1387.7616303196246	1387.7616303196246	1387.7616303196246	0.0	13	15402.785013833136	15402.785013833136	15402.785013833136	0.0	12	14470.222807090933	14470.222807090933	14470.222807090933	0.0	11	204.19821834194624	204.19821834194624	204.19821834194624	0.0	8	2081.5979201408345	2081.5979201408345	2081.5979201408345	0.0	11	2135.945809771279	2135.945809771279	2135.945809771279	0.0	8	2053854.9526105246	2053854.9526105246	2053854.9526105246	0.0	15	624.999999984747	624.999999984747	624.999999984747	0.0	3	5169.215532515856	5169.215532515856	5169.215532515856	0.0	11	16327.557563286271	16327.557563286271	16327.557563286271	0.0	12	14698.863566351294	14698.863566351294	14698.863566351294	0.0	7	1420.749266873443	1420.749266873443	1420.749266873443	0.0	13	1525.2224713485716	1525.2224713485716	1525.2224713485716	0.0	13	1728.958464741253	1728.958464741253	1728.958464741253	0.0	12	4170.644490049775	4170.644490049775	4170.644490049775	0.0	13	12909.02936677148	12909.02936677148	12909.02936677148	0.0	13	10.964285714285714
8	IGWO_DSR	100213.98021006241	100213.98021006241	100213.98021006241	0.0	14	3319412029.37078	3319412029.37078	3319412029.37078	0.0	14	2.420879458411492e+21	2.420879458411492e+21	2.420879458411492e+21	0.0	15	143311.6119109544	143311.6119109544	143311.6119109544	0.0	4	149272.13171973638	149272.13171973638	149272.13171973638	0.0	15	21342.72926215097	21342.72926215097	21342.72926215097	0.0	15	29448130.4494046	29448130.4494046	29448130.4494046	0.0	15	-678.8242299719385	-678.8242299719385	-678.8242299719385	0.0	2	-516.5518193477586	-516.5518193477586	-516.5518193477586	0.0	15	15505.447661349772	15505.447661349772	15505.447661349772	0.0	15	1427.4823286349883	1427.4823286349883	1427.4823286349883	0.0	13	1365.113231076157	1365.113231076157	1365.113231076157	0.0	14	1482.4978905557014	1482.4978905557014	1482.4978905557014	0.0	15	15516.890464565457	15516.890464565457	15516.890464565457	0.0	13	17195.46536654186	17195.46536654186	17195.46536654186	0.0	15	206.50251404403429	206.50251404403429	206.50251404403429	0.0	15	2215.769954334815	2215.769954334815	2215.769954334815	0.0	13	2306.5949031685223	2306.5949031685223	2306.5949031685223	0.0	14	1775970.1448039734	1775970.1448039734	1775970.1448039734	0.0	14	625.0	625.0	625.0	0.0	6	5429.999514818481	5429.999514818481	5429.999514818481	0.0	15	18330.303045199296	18330.303045199296	18330.303045199296	0.0	15	17649.95675654424	17649.95675654424	17649.95675654424	0.0	15	1584.5934538687325	1584.5934538687325	1584.5934538687325	0.0	14	1768.0022309583906	1768.0022309583906	1768.0022309583906	0.0	14	1909.2134852644674	1909.2134852644674	1909.2134852644674	0.0	14	4969.759424680338	4969.759424680338	4969.759424680338	0.0	14	15268.053497379895	15268.053497379895	15268.053497379895	0.0	15	13.285714285714286
9	AGWO	103939.99896930947	103939.99896930947	103939.99896930947	0.0	15	3470163747.9986725	3470163747.9986725	3470163747.9986725	0.0	15	1.2779908890606561e+19	1.2779908890606561e+19	1.2779908890606561e+19	0.0	13	186430.9899041055	186430.9899041055	186430.9899041055	0.0	8	92959.02839684115	92959.02839684115	92959.02839684115	0.0	13	19530.407522709596	19530.407522709596	19530.407522709596	0.0	14	1821551.281085541	1821551.281085541	1821551.281085541	0.0	14	-678.8024180863853	-678.8024180863853	-678.8024180863853	0.0	6	-519.338304138889	-519.338304138889	-519.338304138889	0.0	14	15205.947768198985	15205.947768198985	15205.947768198985	0.0	14	1581.2648891757526	1581.2648891757526	1581.2648891757526	0.0	15	1402.6236070458272	1402.6236070458272	1402.6236070458272	0.0	15	1480.314589910143	1480.314589910143	1480.314589910143	0.0	14	16038.484136127594	16038.484136127594	16038.484136127594	0.0	15	16274.74938741016	16274.74938741016	16274.74938741016	0.0	14	205.13898163851215	205.13898163851215	205.13898163851215	0.0	14	2238.3141171652296	2238.3141171652296	2238.3141171652296	0.0	14	2375.7826400713084	2375.7826400713084	2375.7826400713084	0.0	15	1072450.5944414963	1072450.5944414963	1072450.5944414963	0.0	12	624.9999999999999	624.9999999999999	624.9999999999999	0.0	5	5347.954687115823	5347.954687115823	5347.954687115823	0.0	13	17027.282876276528	17027.282876276528	17027.282876276528	0.0	14	17226.442531774628	17226.442531774628	17226.442531774628	0.0	13	1584.5934538687325	1584.5934538687325	1584.5934538687325	0.0	14	1768.0022309583906	1768.0022309583906	1768.0022309583906	0.0	14	1909.2134852644674	1909.2134852644674	1909.2134852644674	0.0	14	4969.759424680338	4969.759424680338	4969.759424680338	0.0	14	14437.947755606601	14437.947755606601	14437.947755606601	0.0	14	13.178571428571429
