	Algorithm	F1	WS_F1	BS_F1	STD_F1	Rank F1	F2	WS_F2	BS_F2	STD_F2	Rank F2	F3	WS_F3	BS_F3	STD_F3	Rank F3	F4	WS_F4	BS_F4	STD_F4	Rank F4	F5	WS_F5	BS_F5	STD_F5	Rank F5	F6	WS_F6	BS_F6	STD_F6	Rank F6	F7	WS_F7	BS_F7	STD_F7	Rank F7	F8	WS_F8	BS_F8	STD_F8	Rank F8	F9	WS_F9	BS_F9	STD_F9	Rank F9	F10	WS_F10	BS_F10	STD_F10	Rank F10	F11	WS_F11	BS_F11	STD_F11	Rank F11	F12	WS_F12	BS_F12	STD_F12	Rank F12	F13	WS_F13	BS_F13	STD_F13	Rank F13	F14	WS_F14	BS_F14	STD_F14	Rank F14	F15	WS_F15	BS_F15	STD_F15	Rank F15	F16	WS_F16	BS_F16	STD_F16	Rank F16	F17	WS_F17	BS_F17	STD_F17	Rank F17	F18	WS_F18	BS_F18	STD_F18	Rank F18	F19	WS_F19	BS_F19	STD_F19	Rank F19	F20	WS_F20	BS_F20	STD_F20	Rank F20	F21	WS_F21	BS_F21	STD_F21	Rank F21	F22	WS_F22	BS_F22	STD_F22	Rank F22	F23	WS_F23	BS_F23	STD_F23	Rank F23	F24	WS_F24	BS_F24	STD_F24	Rank F24	F25	WS_F25	BS_F25	STD_F25	Rank F25	F26	WS_F26	BS_F26	STD_F26	Rank F26	F27	WS_F27	BS_F27	STD_F27	Rank F27	F28	WS_F28	BS_F28	STD_F28	Rank F28	Avg Rank
0	GWO	36385.094550915324	36385.094550915324	36385.094550915324	0.0	5	439637498.12788934	439637498.12788934	439637498.12788934	0.0	7	8627552760343.371	8627552760343.371	8627552760343.371	0.0	8	140244.18075023827	140244.18075023827	140244.18075023827	0.0	6	8143.484224498083	8143.484224498083	8143.484224498083	0.0	9	4959.673855440618	4959.673855440618	4959.673855440618	0.0	8	1858.3333557670112	1858.3333557670112	1858.3333557670112	0.0	2	-678.8032647940486	-678.8032647940486	-678.8032647940486	0.0	8	-533.6121755084719	-533.6121755084719	-533.6121755084719	0.0	4	4285.53323916807	4285.53323916807	4285.53323916807	0.0	5	754.3226172653672	754.3226172653672	754.3226172653672	0.0	6	877.5634956433619	877.5634956433619	877.5634956433619	0.0	6	1084.4539065217198	1084.4539065217198	1084.4539065217198	0.0	8	11201.22521767185	11201.22521767185	11201.22521767185	0.0	6	15058.715973588984	15058.715973588984	15058.715973588984	0.0	11	203.94465249109845	203.94465249109845	203.94465249109845	0.0	5	1698.0510433144432	1698.0510433144432	1698.0510433144432	0.0	4	2010.4722246954188	2010.4722246954188	2010.4722246954188	0.0	7	86131.38064295062	86131.38064295062	86131.38064295062	0.0	10	625.0	625.0	625.0	0.0	7	4805.698564286345	4805.698564286345	4805.698564286345	0.0	9	12075.353082580252	12075.353082580252	12075.353082580252	0.0	3	14326.370609142788	14326.370609142788	14326.370609142788	0.0	8	1371.036719453138	1371.036719453138	1371.036719453138	0.0	2	1468.701667219183	1468.701667219183	1468.701667219183	0.0	2	1669.4662018474908	1669.4662018474908	1669.4662018474908	0.0	4	3421.5262324955934	3421.5262324955934	3421.5262324955934	0.0	7	9650.30453322447	9650.30453322447	9650.30453322447	0.0	4	6.107142857142857
1	EEGWO	41150.08658545845	41150.08658545845	41150.08658545845	0.0	7	624322919.6960098	624322919.6960098	624322919.6960098	0.0	10	4063585200528.1133	4063585200528.1133	4063585200528.1133	0.0	4	101463.05402741562	101463.05402741562	101463.05402741562	0.0	1	3657.129997791494	3657.129997791494	3657.129997791494	0.0	2	3240.501924933448	3240.501924933448	3240.501924933448	0.0	4	-169.32540205577084	-169.32540205577084	-169.32540205577084	0.0	1	-678.8333795910002	-678.8333795910002	-678.8333795910002	0.0	5	-526.8930765405659	-526.8930765405659	-526.8930765405659	0.0	12	3512.2248498531144	3512.2248498531144	3512.2248498531144	0.0	4	832.9824452765804	832.9824452765804	832.9824452765804	0.0	8	879.039443218428	879.039443218428	879.039443218428	0.0	7	1001.0660870307529	1001.0660870307529	1001.0660870307529	0.0	6	13039.376294814205	13039.376294814205	13039.376294814205	0.0	10	14689.592102165137	14689.592102165137	14689.592102165137	0.0	10	204.2057108965957	204.2057108965957	204.2057108965957	0.0	11	1696.7889923956968	1696.7889923956968	1696.7889923956968	0.0	3	1818.9431529816127	1818.9431529816127	1818.9431529816127	0.0	2	40668.06787181545	40668.06787181545	40668.06787181545	0.0	3	624.9984162373005	624.9984162373005	624.9984162373005	0.0	2	4465.937834866668	4465.937834866668	4465.937834866668	0.0	4	16438.292954619792	16438.292954619792	16438.292954619792	0.0	14	12049.6499473056	12049.6499473056	12049.6499473056	0.0	2	1393.5125763710234	1393.5125763710234	1393.5125763710234	0.0	10	1479.6431360036638	1479.6431360036638	1479.6431360036638	0.0	7	1673.2955319308655	1673.2955319308655	1673.2955319308655	0.0	6	3496.412361887263	3496.412361887263	3496.412361887263	0.0	10	9983.147209728273	9983.147209728273	9983.147209728273	0.0	7	6.142857142857143
2	IGWO	39199.90813814263	39199.90813814263	39199.90813814263	0.0	6	439735954.8174846	439735954.8174846	439735954.8174846	0.0	8	543354188385.77466	543354188385.77466	543354188385.77466	0.0	2	129507.35868242843	129507.35868242843	129507.35868242843	0.0	5	5530.597188143965	5530.597188143965	5530.597188143965	0.0	5	7067.630249878211	7067.630249878211	7067.630249878211	0.0	10	2100.517018818819	2100.517018818819	2100.517018818819	0.0	3	-678.7918312004674	-678.7918312004674	-678.7918312004674	0.0	11	-536.2823348104044	-536.2823348104044	-536.2823348104044	0.0	2	4540.731606370783	4540.731606370783	4540.731606370783	0.0	6	647.0802444465858	647.0802444465858	647.0802444465858	0.0	5	803.7428826127193	803.7428826127193	803.7428826127193	0.0	4	1014.6319851100623	1014.6319851100623	1014.6319851100623	0.0	7	11322.745685040647	11322.745685040647	11322.745685040647	0.0	7	12338.736605235246	12338.736605235246	12338.736605235246	0.0	3	204.07421834288402	204.07421834288402	204.07421834288402	0.0	7	1741.4799445970302	1741.4799445970302	1741.4799445970302	0.0	6	2083.386005352408	2083.386005352408	2083.386005352408	0.0	8	68983.43772144036	68983.43772144036	68983.43772144036	0.0	6	625.0	625.0	625.0	0.0	7	4718.54829108802	4718.54829108802	4718.54829108802	0.0	6	13103.014641155496	13103.014641155496	13103.014641155496	0.0	7	16915.1081284536	16915.1081284536	16915.1081284536	0.0	12	1383.7341064226582	1383.7341064226582	1383.7341064226582	0.0	8	1459.6742184253535	1459.6742184253535	1459.6742184253535	0.0	1	1677.3710350886558	1677.3710350886558	1677.3710350886558	0.0	8	3375.8814061457747	3375.8814061457747	3375.8814061457747	0.0	4	9430.509501728653	9430.509501728653	9430.509501728653	0.0	2	5.928571428571429
3	NGWO	88307.081299581	88307.081299581	88307.081299581	0.0	12	2208039961.5047903	2208039961.5047903	2208039961.5047903	0.0	13	1.5917442843431386e+16	1.5917442843431386e+16	1.5917442843431386e+16	0.0	11	181483.74611844035	181483.74611844035	181483.74611844035	0.0	11	63643.78355316811	63643.78355316811	63643.78355316811	0.0	12	14225.114901597095	14225.114901597095	14225.114901597095	0.0	13	79453.5950598313	79453.5950598313	79453.5950598313	0.0	11	-678.8620491082047	-678.8620491082047	-678.8620491082047	0.0	1	-524.0244114609483	-524.0244114609483	-524.0244114609483	0.0	13	10709.777466825584	10709.777466825584	10709.777466825584	0.0	13	957.9229118174603	957.9229118174603	957.9229118174603	0.0	10	1141.1428578897546	1141.1428578897546	1141.1428578897546	0.0	12	1308.7430480614146	1308.7430480614146	1308.7430480614146	0.0	12	13980.965479802246	13980.965479802246	13980.965479802246	0.0	11	13770.83937138762	13770.83937138762	13770.83937138762	0.0	7	203.17378297180528	203.17378297180528	203.17378297180528	0.0	2	2081.599126765186	2081.599126765186	2081.599126765186	0.0	11	2095.159711623739	2095.159711623739	2095.159711623739	0.0	9	1534539.9330781824	1534539.9330781824	1534539.9330781824	0.0	13	625.0	625.0	625.0	0.0	7	5423.77883196551	5423.77883196551	5423.77883196551	0.0	15	16365.92814162527	16365.92814162527	16365.92814162527	0.0	13	16124.161523866424	16124.161523866424	16124.161523866424	0.0	10	1402.1055567094172	1402.1055567094172	1402.1055567094172	0.0	11	1494.8508477518951	1494.8508477518951	1494.8508477518951	0.0	11	1717.6591914430196	1717.6591914430196	1717.6591914430196	0.0	13	3790.798661737585	3790.798661737585	3790.798661737585	0.0	11	13154.899445827301	13154.899445827301	13154.899445827301	0.0	13	10.75
4	LFGWO	36023.156833909525	36023.156833909525	36023.156833909525	0.0	4	354534459.3126607	354534459.3126607	354534459.3126607	0.0	4	6305702818989.009	6305702818989.009	6305702818989.009	0.0	7	119410.1980042973	119410.1980042973	119410.1980042973	0.0	2	6006.845497195376	6006.845497195376	6006.845497195376	0.0	6	4171.506069836392	4171.506069836392	4171.506069836392	0.0	5	2396.100650069065	2396.100650069065	2396.100650069065	0.0	4	-678.8422943110248	-678.8422943110248	-678.8422943110248	0.0	3	-532.4356466017324	-532.4356466017324	-532.4356466017324	0.0	5	4726.961783637108	4726.961783637108	4726.961783637108	0.0	7	646.2300348539582	646.2300348539582	646.2300348539582	0.0	4	926.0890329224123	926.0890329224123	926.0890329224123	0.0	8	917.9574510318857	917.9574510318857	917.9574510318857	0.0	3	10290.811082427412	10290.811082427412	10290.811082427412	0.0	2	12521.847527743843	12521.847527743843	12521.847527743843	0.0	4	204.10719430040342	204.10719430040342	204.10719430040342	0.0	9	1771.406341586673	1771.406341586673	1771.406341586673	0.0	7	1998.3278314998706	1998.3278314998706	1998.3278314998706	0.0	6	75907.96439324103	75907.96439324103	75907.96439324103	0.0	8	625.0	625.0	625.0	0.0	7	4826.590432535755	4826.590432535755	4826.590432535755	0.0	10	12342.050229931827	12342.050229931827	12342.050229931827	0.0	4	13013.655561335449	13013.655561335449	13013.655561335449	0.0	4	1373.5060426199457	1373.5060426199457	1373.5060426199457	0.0	3	1469.971829937931	1469.971829937931	1469.971829937931	0.0	3	1674.7382904470446	1674.7382904470446	1674.7382904470446	0.0	7	3476.1240430526977	3476.1240430526977	3476.1240430526977	0.0	9	9807.579431787619	9807.579431787619	9807.579431787619	0.0	5	5.357142857142857
5	AgGWO	29836.410636383767	29836.410636383767	29836.410636383767	0.0	3	160128590.09770688	160128590.09770688	160128590.09770688	0.0	2	19886664149765.305	19886664149765.305	19886664149765.305	0.0	9	190518.6374018974	190518.6374018974	190518.6374018974	0.0	12	6540.49708157682	6540.49708157682	6540.49708157682	0.0	7	939.4655019108459	939.4655019108459	939.4655019108459	0.0	2	3305.7911284452903	3305.7911284452903	3305.7911284452903	0.0	5	-678.7507248117613	-678.7507248117613	-678.7507248117613	0.0	15	-529.1690495245285	-529.1690495245285	-529.1690495245285	0.0	8	2743.4580429313	2743.4580429313	2743.4580429313	0.0	3	870.7587489070759	870.7587489070759	870.7587489070759	0.0	9	866.4109565990279	866.4109565990279	866.4109565990279	0.0	5	910.8265881166215	910.8265881166215	910.8265881166215	0.0	2	10422.002105150117	10422.002105150117	10422.002105150117	0.0	3	13378.035817852844	13378.035817852844	13378.035817852844	0.0	6	203.70391125659793	203.70391125659793	203.70391125659793	0.0	4	1847.5142034351697	1847.5142034351697	1847.5142034351697	0.0	8	1951.1309667640496	1951.1309667640496	1951.1309667640496	0.0	5	60433.22701908728	60433.22701908728	60433.22701908728	0.0	5	625.0	625.0	625.0	0.0	7	4421.573326198801	4421.573326198801	4421.573326198801	0.0	3	11708.955316825612	11708.955316825612	11708.955316825612	0.0	2	13969.769598640509	13969.769598640509	13969.769598640509	0.0	6	1378.5698007537599	1378.5698007537599	1378.5698007537599	0.0	5	1470.6836495769035	1470.6836495769035	1470.6836495769035	0.0	5	1663.416180668016	1663.416180668016	1663.416180668016	0.0	1	3402.9697206298447	3402.9697206298447	3402.9697206298447	0.0	5	11206.103327852823	11206.103327852823	11206.103327852823	0.0	10	5.607142857142857
6	VMGWO	46561.27707092915	46561.27707092915	46561.27707092915	0.0	9	322028277.67705727	322028277.67705727	322028277.67705727	0.0	3	5471419686091.323	5471419686091.323	5471419686091.323	0.0	6	265344.2544362474	265344.2544362474	265344.2544362474	0.0	14	7601.9852830476575	7601.9852830476575	7601.9852830476575	0.0	8	4477.435776944391	4477.435776944391	4477.435776944391	0.0	6	13045.547453510655	13045.547453510655	13045.547453510655	0.0	8	-678.7961541897533	-678.7961541897533	-678.7961541897533	0.0	10	-527.68000753005	-527.68000753005	-527.68000753005	0.0	10	5294.502698800396	5294.502698800396	5294.502698800396	0.0	9	816.6047142160535	816.6047142160535	816.6047142160535	0.0	7	1125.1741408116995	1125.1741408116995	1125.1741408116995	0.0	11	1274.8655781275709	1274.8655781275709	1274.8655781275709	0.0	11	12519.114902463893	12519.114902463893	12519.114902463893	0.0	9	13088.204057011548	13088.204057011548	13088.204057011548	0.0	5	204.16013726169794	204.16013726169794	204.16013726169794	0.0	10	1974.017885095038	1974.017885095038	1974.017885095038	0.0	10	2103.2163768537944	2103.2163768537944	2103.2163768537944	0.0	10	72567.31597019464	72567.31597019464	72567.31597019464	0.0	7	625.0	625.0	625.0	0.0	7	4517.197026957874	4517.197026957874	4517.197026957874	0.0	5	13695.248333277474	13695.248333277474	13695.248333277474	0.0	8	12890.349981024317	12890.349981024317	12890.349981024317	0.0	3	1379.9571669357179	1379.9571669357179	1379.9571669357179	0.0	7	1470.1957379059183	1470.1957379059183	1470.1957379059183	0.0	4	1680.385662169655	1680.385662169655	1680.385662169655	0.0	9	3404.547407953944	3404.547407953944	3404.547407953944	0.0	6	9904.148729399241	9904.148729399241	9904.148729399241	0.0	6	7.785714285714286
7	TLFGWO	91330.44834518069	91330.44834518069	91330.44834518069	0.0	13	1585278578.0340345	1585278578.0340345	1585278578.0340345	0.0	11	8.555029753973608e+18	8.555029753973608e+18	8.555029753973608e+18	0.0	14	142150.5685679545	142150.5685679545	142150.5685679545	0.0	7	76055.79937170778	76055.79937170778	76055.79937170778	0.0	13	13150.688659187394	13150.688659187394	13150.688659187394	0.0	11	3671214.474545627	3671214.474545627	3671214.474545627	0.0	14	-678.8047442829252	-678.8047442829252	-678.8047442829252	0.0	7	-527.0356697209529	-527.0356697209529	-527.0356697209529	0.0	11	10616.148456420096	10616.148456420096	10616.148456420096	0.0	12	1219.1409174199541	1219.1409174199541	1219.1409174199541	0.0	13	1301.691843090581	1301.691843090581	1301.691843090581	0.0	13	1397.351862535623	1397.351862535623	1397.351862535623	0.0	13	14618.113042281031	14618.113042281031	14618.113042281031	0.0	12	15695.607756860205	15695.607756860205	15695.607756860205	0.0	13	202.71508006993886	202.71508006993886	202.71508006993886	0.0	1	2166.995628812469	2166.995628812469	2166.995628812469	0.0	13	2280.836859488447	2280.836859488447	2280.836859488447	0.0	13	2053854.9526105246	2053854.9526105246	2053854.9526105246	0.0	15	624.9999999824956	624.9999999824956	624.9999999824956	0.0	4	5144.312805456043	5144.312805456043	5144.312805456043	0.0	11	14023.39855268725	14023.39855268725	14023.39855268725	0.0	9	17222.25332985484	17222.25332985484	17222.25332985484	0.0	13	1409.963237497058	1409.963237497058	1409.963237497058	0.0	12	1514.3321591295899	1514.3321591295899	1514.3321591295899	0.0	13	1694.8307095094417	1694.8307095094417	1694.8307095094417	0.0	11	3877.4673729933234	3877.4673729933234	3877.4673729933234	0.0	12	13149.41723734771	13149.41723734771	13149.41723734771	0.0	12	11.285714285714286
8	IGWO_DSR	100213.98021006241	100213.98021006241	100213.98021006241	0.0	14	3367221007.619457	3367221007.619457	3367221007.619457	0.0	15	2.0603182473097414e+21	2.0603182473097414e+21	2.0603182473097414e+21	0.0	15	646249.310785098	646249.310785098	646249.310785098	0.0	15	131798.19102303483	131798.19102303483	131798.19102303483	0.0	15	21342.72926215097	21342.72926215097	21342.72926215097	0.0	15	36925677.72096911	36925677.72096911	36925677.72096911	0.0	15	-678.7737408917336	-678.7737408917336	-678.7737408917336	0.0	12	-516.5518193477586	-516.5518193477586	-516.5518193477586	0.0	15	15750.250560640587	15750.250560640587	15750.250560640587	0.0	15	1318.7929209381787	1318.7929209381787	1318.7929209381787	0.0	14	1365.113231076157	1365.113231076157	1365.113231076157	0.0	14	1488.7695351065795	1488.7695351065795	1488.7695351065795	0.0	15	15559.274174040234	15559.274174040234	15559.274174040234	0.0	13	16557.28871374551	16557.28871374551	16557.28871374551	0.0	15	205.7730230404998	205.7730230404998	205.7730230404998	0.0	15	2183.748445033487	2183.748445033487	2183.748445033487	0.0	14	2319.067017454453	2319.067017454453	2319.067017454453	0.0	14	1775970.1448039734	1775970.1448039734	1775970.1448039734	0.0	14	624.9999999999992	624.9999999999992	624.9999999999992	0.0	6	5395.124387680229	5395.124387680229	5395.124387680229	0.0	14	17860.160815704083	17860.160815704083	17860.160815704083	0.0	15	17815.632531927844	17815.632531927844	17815.632531927844	0.0	14	1584.5934538687325	1584.5934538687325	1584.5934538687325	0.0	14	1768.0022309583906	1768.0022309583906	1768.0022309583906	0.0	14	1909.2134852644674	1909.2134852644674	1909.2134852644674	0.0	15	4969.759424680338	4969.759424680338	4969.759424680338	0.0	15	13600.95488349632	13600.95488349632	13600.95488349632	0.0	14	14.107142857142858
9	AGWO	104489.77883374637	104489.77883374637	104489.77883374637	0.0	15	2974414506.8329334	2974414506.8329334	2974414506.8329334	0.0	14	1.9180821498494118e+18	1.9180821498494118e+18	1.9180821498494118e+18	0.0	13	164062.45185540617	164062.45185540617	164062.45185540617	0.0	10	95090.84297128007	95090.84297128007	95090.84297128007	0.0	14	19595.00653845472	19595.00653845472	19595.00653845472	0.0	14	1095705.770384467	1095705.770384467	1095705.770384467	0.0	13	-678.7606110036228	-678.7606110036228	-678.7606110036228	0.0	13	-518.4044585114399	-518.4044585114399	-518.4044585114399	0.0	14	15077.883065758375	15077.883065758375	15077.883065758375	0.0	14	1445.9140327704677	1445.9140327704677	1445.9140327704677	0.0	15	1401.8656658057857	1401.8656658057857	1401.8656658057857	0.0	15	1481.5992057315902	1481.5992057315902	1481.5992057315902	0.0	14	15684.30685307144	15684.30685307144	15684.30685307144	0.0	15	16134.701759202477	16134.701759202477	16134.701759202477	0.0	14	204.84848719685402	204.84848719685402	204.84848719685402	0.0	13	2301.0788479843577	2301.0788479843577	2301.0788479843577	0.0	15	2364.676038678489	2364.676038678489	2364.676038678489	0.0	15	1043088.0096398935	1043088.0096398935	1043088.0096398935	0.0	12	624.9999999983396	624.9999999983396	624.9999999983396	0.0	5	5322.96986828948	5322.96986828948	5322.96986828948	0.0	13	16355.06096786804	16355.06096786804	16355.06096786804	0.0	12	18065.453162911213	18065.453162911213	18065.453162911213	0.0	15	1584.5934538687325	1584.5934538687325	1584.5934538687325	0.0	14	1768.0022309583906	1768.0022309583906	1768.0022309583906	0.0	14	1894.0535162420233	1894.0535162420233	1894.0535162420233	0.0	14	4876.047369468488	4876.047369468488	4876.047369468488	0.0	14	14028.53231407977	14028.53231407977	14028.53231407977	0.0	15	13.5
