	Algorithm	F1	WS_F1	BS_F1	STD_F1	Rank F1	F2	WS_F2	BS_F2	STD_F2	Rank F2	F3	WS_F3	BS_F3	STD_F3	Rank F3	F4	WS_F4	BS_F4	STD_F4	Rank F4	F5	WS_F5	BS_F5	STD_F5	Rank F5	F6	WS_F6	BS_F6	STD_F6	Rank F6	F7	WS_F7	BS_F7	STD_F7	Rank F7	F8	WS_F8	BS_F8	STD_F8	Rank F8	F9	WS_F9	BS_F9	STD_F9	Rank F9	F10	WS_F10	BS_F10	STD_F10	Rank F10	F11	WS_F11	BS_F11	STD_F11	Rank F11	F12	WS_F12	BS_F12	STD_F12	Rank F12	F13	WS_F13	BS_F13	STD_F13	Rank F13	F14	WS_F14	BS_F14	STD_F14	Rank F14	F15	WS_F15	BS_F15	STD_F15	Rank F15	F16	WS_F16	BS_F16	STD_F16	Rank F16	F17	WS_F17	BS_F17	STD_F17	Rank F17	F18	WS_F18	BS_F18	STD_F18	Rank F18	F19	WS_F19	BS_F19	STD_F19	Rank F19	F20	WS_F20	BS_F20	STD_F20	Rank F20	F21	WS_F21	BS_F21	STD_F21	Rank F21	F22	WS_F22	BS_F22	STD_F22	Rank F22	F23	WS_F23	BS_F23	STD_F23	Rank F23	F24	WS_F24	BS_F24	STD_F24	Rank F24	F25	WS_F25	BS_F25	STD_F25	Rank F25	F26	WS_F26	BS_F26	STD_F26	Rank F26	F27	WS_F27	BS_F27	STD_F27	Rank F27	F28	WS_F28	BS_F28	STD_F28	Rank F28	Avg Rank
0	GWO	33415.99607605979	33415.99607605979	33415.99607605979	0.0	7	300384341.3513626	300384341.3513626	300384341.3513626	0.0	6	1588001047417.4495	1588001047417.4495	1588001047417.4495	0.0	8	127133.85970131072	127133.85970131072	127133.85970131072	0.0	8	7880.031939004648	7880.031939004648	7880.031939004648	0.0	9	2674.6591682743997	2674.6591682743997	2674.6591682743997	0.0	6	2105.479601633474	2105.479601633474	2105.479601633474	0.0	5	-678.8050365103834	-678.8050365103834	-678.8050365103834	0.0	8	-535.1744751735217	-535.1744751735217	-535.1744751735217	0.0	5	4183.81096210867	4183.81096210867	4183.81096210867	0.0	10	459.09385975275416	459.09385975275416	459.09385975275416	0.0	2	585.6409875988163	585.6409875988163	585.6409875988163	0.0	3	996.009569023528	996.009569023528	996.009569023528	0.0	5	11025.305671998936	11025.305671998936	11025.305671998936	0.0	5	10757.348057790248	10757.348057790248	10757.348057790248	0.0	4	202.65316735439745	202.65316735439745	202.65316735439745	0.0	1	1797.7070645521956	1797.7070645521956	1797.7070645521956	0.0	6	1784.885802066903	1784.885802066903	1784.885802066903	0.0	2	70359.19088449582	70359.19088449582	70359.19088449582	0.0	6	625.0	625.0	625.0	0.0	7	4369.9945932280025	4369.9945932280025	4369.9945932280025	0.0	5	12083.008130193772	12083.008130193772	12083.008130193772	0.0	3	14256.437592304197	14256.437592304197	14256.437592304197	0.0	6	1381.298380494653	1381.298380494653	1381.298380494653	0.0	6	1472.7105286731207	1472.7105286731207	1472.7105286731207	0.0	4	1660.1308849899476	1660.1308849899476	1660.1308849899476	0.0	1	3286.5817025774304	3286.5817025774304	3286.5817025774304	0.0	2	10010.326111772152	10010.326111772152	10010.326111772152	0.0	9	5.321428571428571
1	EEGWO	22543.475262254236	22543.475262254236	22543.475262254236	0.0	3	254932606.3892006	254932606.3892006	254932606.3892006	0.0	3	333595670973.3242	333595670973.3242	333595670973.3242	0.0	4	84568.05613114401	84568.05613114401	84568.05613114401	0.0	1	2429.7196585227043	2429.7196585227043	2429.7196585227043	0.0	4	797.2965939223072	797.2965939223072	797.2965939223072	0.0	2	1171.0587897895175	1171.0587897895175	1171.0587897895175	0.0	3	-678.7998555745667	-678.7998555745667	-678.7998555745667	0.0	10	-542.4083232331237	-542.4083232331237	-542.4083232331237	0.0	1	2616.0400259474623	2616.0400259474623	2616.0400259474623	0.0	3	511.72215978436884	511.72215978436884	511.72215978436884	0.0	5	675.8458536814986	675.8458536814986	675.8458536814986	0.0	5	737.8088065705742	737.8088065705742	737.8088065705742	0.0	1	10148.93484148244	10148.93484148244	10148.93484148244	0.0	2	13750.7069659125	13750.7069659125	13750.7069659125	0.0	9	204.09133717103043	204.09133717103043	204.09133717103043	0.0	13	1568.4298502823667	1568.4298502823667	1568.4298502823667	0.0	1	1845.603974625439	1845.603974625439	1845.603974625439	0.0	4	9909.11506107907	9909.11506107907	9909.11506107907	0.0	3	624.8983447297018	624.8983447297018	624.8983447297018	0.0	1	4321.976229670177	4321.976229670177	4321.976229670177	0.0	3	15313.792547092919	15313.792547092919	15313.792547092919	0.0	11	15763.344819089936	15763.344819089936	15763.344819089936	0.0	11	1392.9059616450645	1392.9059616450645	1392.9059616450645	0.0	10	1473.854917838755	1473.854917838755	1473.854917838755	0.0	5	1664.5800813836952	1664.5800813836952	1664.5800813836952	0.0	2	3582.709346501522	3582.709346501522	3582.709346501522	0.0	10	8558.35656420291	8558.35656420291	8558.35656420291	0.0	2	4.714285714285714
2	IGWO	28264.48254148861	28264.48254148861	28264.48254148861	0.0	4	305140463.7100179	305140463.7100179	305140463.7100179	0.0	7	746079684435.6132	746079684435.6132	746079684435.6132	0.0	6	113832.6668014356	113832.6668014356	113832.6668014356	0.0	5	1725.573270481892	1725.573270481892	1725.573270481892	0.0	2	3316.2971177034187	3316.2971177034187	3316.2971177034187	0.0	8	-142.30043811471091	-142.30043811471091	-142.30043811471091	0.0	2	-678.8289020046138	-678.8289020046138	-678.8289020046138	0.0	5	-534.1635311747218	-534.1635311747218	-534.1635311747218	0.0	7	3861.610384676924	3861.610384676924	3861.610384676924	0.0	8	466.08855736563	466.08855736563	466.08855736563	0.0	3	515.8875777669542	515.8875777669542	515.8875777669542	0.0	1	1097.871018688946	1097.871018688946	1097.871018688946	0.0	9	11305.95333346353	11305.95333346353	11305.95333346353	0.0	7	13350.07992453433	13350.07992453433	13350.07992453433	0.0	8	204.01728851258886	204.01728851258886	204.01728851258886	0.0	9	1854.5211330070488	1854.5211330070488	1854.5211330070488	0.0	7	1825.4396385385512	1825.4396385385512	1825.4396385385512	0.0	3	74589.74442801217	74589.74442801217	74589.74442801217	0.0	7	625.0	625.0	625.0	0.0	7	4343.7177355063195	4343.7177355063195	4343.7177355063195	0.0	4	12300.560029540235	12300.560029540235	12300.560029540235	0.0	4	13621.346060296411	13621.346060296411	13621.346060296411	0.0	4	1382.6275957195503	1382.6275957195503	1382.6275957195503	0.0	7	1476.2466920763256	1476.2466920763256	1476.2466920763256	0.0	7	1674.2524676470643	1674.2524676470643	1674.2524676470643	0.0	6	3332.7150464592187	3332.7150464592187	3332.7150464592187	0.0	5	9616.288349167244	9616.288349167244	9616.288349167244	0.0	5	5.607142857142857
3	NGWO	88306.62119391891	88306.62119391891	88306.62119391891	0.0	12	2207093413.413758	2207093413.413758	2207093413.413758	0.0	12	7228674789580105.0	7228674789580105.0	7228674789580105.0	0.0	12	195570.22585103492	195570.22585103492	195570.22585103492	0.0	13	52779.74678753062	52779.74678753062	52779.74678753062	0.0	12	14765.169444596879	14765.169444596879	14765.169444596879	0.0	13	37504.528502084264	37504.528502084264	37504.528502084264	0.0	10	-678.7991115270052	-678.7991115270052	-678.7991115270052	0.0	11	-522.7681777490537	-522.7681777490537	-522.7681777490537	0.0	13	12344.964268591455	12344.964268591455	12344.964268591455	0.0	13	938.4772212793628	938.4772212793628	938.4772212793628	0.0	11	1155.916024186212	1155.916024186212	1155.916024186212	0.0	12	1190.4340980051595	1190.4340980051595	1190.4340980051595	0.0	12	14389.160134575879	14389.160134575879	14389.160134575879	0.0	12	15657.798214346883	15657.798214346883	15657.798214346883	0.0	13	203.55847768506374	203.55847768506374	203.55847768506374	0.0	7	2179.1983496455246	2179.1983496455246	2179.1983496455246	0.0	12	2293.0904518998796	2293.0904518998796	2293.0904518998796	0.0	11	1536695.1170902778	1536695.1170902778	1536695.1170902778	0.0	13	625.0	625.0	625.0	0.0	7	5415.705326489542	5415.705326489542	5415.705326489542	0.0	15	17096.93241674002	17096.93241674002	17096.93241674002	0.0	13	14914.345973021766	14914.345973021766	14914.345973021766	0.0	9	1418.361089380322	1418.361089380322	1418.361089380322	0.0	13	1508.3926814321183	1508.3926814321183	1508.3926814321183	0.0	12	1735.2581578756076	1735.2581578756076	1735.2581578756076	0.0	12	4228.733430317121	4228.733430317121	4228.733430317121	0.0	13	12547.876518937039	12547.876518937039	12547.876518937039	0.0	13	11.821428571428571
4	LFGWO	29176.57529676101	29176.57529676101	29176.57529676101	0.0	5	267783592.00583687	267783592.00583687	267783592.00583687	0.0	5	245209580930.4355	245209580930.4355	245209580930.4355	0.0	2	105840.0844354129	105840.0844354129	105840.0844354129	0.0	3	5013.362330605926	5013.362330605926	5013.362330605926	0.0	7	3264.5721048144324	3264.5721048144324	3264.5721048144324	0.0	7	6327.938350739371	6327.938350739371	6327.938350739371	0.0	8	-678.7988442806284	-678.7988442806284	-678.7988442806284	0.0	12	-534.3667318356229	-534.3667318356229	-534.3667318356229	0.0	6	3774.569812914121	3774.569812914121	3774.569812914121	0.0	7	590.4366605582433	590.4366605582433	590.4366605582433	0.0	6	559.0082637079981	559.0082637079981	559.0082637079981	0.0	2	1066.81070607015	1066.81070607015	1066.81070607015	0.0	7	11053.269286526353	11053.269286526353	11053.269286526353	0.0	6	14208.266459426573	14208.266459426573	14208.266459426573	0.0	11	203.66620301524972	203.66620301524972	203.66620301524972	0.0	8	1791.2126553312728	1791.2126553312728	1791.2126553312728	0.0	5	1742.4812769076482	1742.4812769076482	1742.4812769076482	0.0	1	116739.4869734258	116739.4869734258	116739.4869734258	0.0	10	625.0	625.0	625.0	0.0	7	4651.37598030691	4651.37598030691	4651.37598030691	0.0	10	13465.72866697676	13465.72866697676	13465.72866697676	0.0	8	13129.098574584688	13129.098574584688	13129.098574584688	0.0	3	1378.5401212856991	1378.5401212856991	1378.5401212856991	0.0	4	1478.1694362525593	1478.1694362525593	1478.1694362525593	0.0	8	1669.640154157391	1669.640154157391	1669.640154157391	0.0	4	3399.869021000896	3399.869021000896	3399.869021000896	0.0	7	8964.664683196363	8964.664683196363	8964.664683196363	0.0	4	6.178571428571429
5	AgGWO	32124.263369963046	32124.263369963046	32124.263369963046	0.0	6	265145205.4288573	265145205.4288573	265145205.4288573	0.0	4	1635942180971.1167	1635942180971.1167	1635942180971.1167	0.0	9	96662.34206192	96662.34206192	96662.34206192	0.0	2	3633.2768903272326	3633.2768903272326	3633.2768903272326	0.0	6	2555.2742983641215	2555.2742983641215	2555.2742983641215	0.0	5	39950.062355679074	39950.062355679074	39950.062355679074	0.0	11	-678.8492707466539	-678.8492707466539	-678.8492707466539	0.0	4	-536.4126384966265	-536.4126384966265	-536.4126384966265	0.0	3	1854.4283492878417	1854.4283492878417	1854.4283492878417	0.0	2	669.4247417467227	669.4247417467227	669.4247417467227	0.0	7	760.5029901506923	760.5029901506923	760.5029901506923	0.0	7	988.5792574877657	988.5792574877657	988.5792574877657	0.0	4	10809.975786924138	10809.975786924138	10809.975786924138	0.0	3	11923.429788744068	11923.429788744068	11923.429788744068	0.0	6	204.06838540974636	204.06838540974636	204.06838540974636	0.0	11	1955.5427306513393	1955.5427306513393	1955.5427306513393	0.0	9	1994.856745103594	1994.856745103594	1994.856745103594	0.0	7	13295.064971818912	13295.064971818912	13295.064971818912	0.0	4	625.0	625.0	625.0	0.0	7	4551.254790540457	4551.254790540457	4551.254790540457	0.0	7	11892.07879336634	11892.07879336634	11892.07879336634	0.0	2	13982.376555880852	13982.376555880852	13982.376555880852	0.0	5	1388.2471410962628	1388.2471410962628	1388.2471410962628	0.0	9	1462.9177611395075	1462.9177611395075	1462.9177611395075	0.0	1	1666.5405047799525	1666.5405047799525	1666.5405047799525	0.0	3	3404.1377459784317	3404.1377459784317	3404.1377459784317	0.0	8	8081.566303487864	8081.566303487864	8081.566303487864	0.0	1	5.464285714285714
6	VMGWO	40107.520930990046	40107.520930990046	40107.520930990046	0.0	8	350831130.29946256	350831130.29946256	350831130.29946256	0.0	9	74117086380088.86	74117086380088.86	74117086380088.86	0.0	10	185889.06227629667	185889.06227629667	185889.06227629667	0.0	12	3433.952380666069	3433.952380666069	3433.952380666069	0.0	5	5162.514685659914	5162.514685659914	5162.514685659914	0.0	9	2991.5878523591573	2991.5878523591573	2991.5878523591573	0.0	6	-678.812332519279	-678.812332519279	-678.812332519279	0.0	7	-538.2279389976793	-538.2279389976793	-538.2279389976793	0.0	2	3878.321621491982	3878.321621491982	3878.321621491982	0.0	9	838.8958620991077	838.8958620991077	838.8958620991077	0.0	10	843.2974885111971	843.2974885111971	843.2974885111971	0.0	9	1121.4298111511193	1121.4298111511193	1121.4298111511193	0.0	11	13866.820601393209	13866.820601393209	13866.820601393209	0.0	10	11412.632819359118	11412.632819359118	11412.632819359118	0.0	5	204.0427884207698	204.0427884207698	204.0427884207698	0.0	10	1869.5406114160373	1869.5406114160373	1869.5406114160373	0.0	8	2030.8382275555418	2030.8382275555418	2030.8382275555418	0.0	8	77140.19587539065	77140.19587539065	77140.19587539065	0.0	8	625.0	625.0	625.0	0.0	7	4544.303724310905	4544.303724310905	4544.303724310905	0.0	6	12779.412589326641	12779.412589326641	12779.412589326641	0.0	7	14650.237710025871	14650.237710025871	14650.237710025871	0.0	7	1378.2539604627816	1378.2539604627816	1378.2539604627816	0.0	3	1464.872240493115	1464.872240493115	1464.872240493115	0.0	2	1685.310261318465	1685.310261318465	1685.310261318465	0.0	9	3332.7329787273216	3332.7329787273216	3332.7329787273216	0.0	6	10002.710473053192	10002.710473053192	10002.710473053192	0.0	8	7.535714285714286
7	TLFGWO	92239.7002699709	92239.7002699709	92239.7002699709	0.0	13	2913173328.0767407	2913173328.0767407	2913173328.0767407	0.0	13	6.458425130669543e+19	6.458425130669543e+19	6.458425130669543e+19	0.0	14	135670.98683139242	135670.98683139242	135670.98683139242	0.0	9	64263.79107742818	64263.79107742818	64263.79107742818	0.0	13	10671.23641330712	10671.23641330712	10671.23641330712	0.0	11	117421.95268558609	117421.95268558609	117421.95268558609	0.0	13	-678.9105529778853	-678.9105529778853	-678.9105529778853	0.0	3	-529.7532268917164	-529.7532268917164	-529.7532268917164	0.0	10	11505.680680996245	11505.680680996245	11505.680680996245	0.0	12	1127.943243794066	1127.943243794066	1127.943243794066	0.0	13	1300.6782532459895	1300.6782532459895	1300.6782532459895	0.0	13	1353.6505540416845	1353.6505540416845	1353.6505540416845	0.0	13	14264.033488791685	14264.033488791685	14264.033488791685	0.0	11	14810.027572761177	14810.027572761177	14810.027572761177	0.0	12	202.7921375518903	202.7921375518903	202.7921375518903	0.0	2	2162.7835797073894	2162.7835797073894	2162.7835797073894	0.0	11	2311.715579628962	2311.715579628962	2311.715579628962	0.0	12	2053854.9526105246	2053854.9526105246	2053854.9526105246	0.0	15	625.0	625.0	625.0	0.0	7	5247.185590633499	5247.185590633499	5247.185590633499	0.0	12	15428.328634531432	15428.328634531432	15428.328634531432	0.0	12	16714.571150738273	16714.571150738273	16714.571150738273	0.0	13	1409.4614104529321	1409.4614104529321	1409.4614104529321	0.0	11	1515.37125843962	1515.37125843962	1515.37125843962	0.0	13	1754.4617376449626	1754.4617376449626	1754.4617376449626	0.0	13	3897.2144645258445	3897.2144645258445	3897.2144645258445	0.0	12	12049.045827013731	12049.045827013731	12049.045827013731	0.0	11	11.321428571428571
8	IGWO_DSR	100213.98021006241	100213.98021006241	100213.98021006241	0.0	14	3367221007.619457	3367221007.619457	3367221007.619457	0.0	15	9.189445775234836e+19	9.189445775234836e+19	9.189445775234836e+19	0.0	15	205879.27096552058	205879.27096552058	205879.27096552058	0.0	14	130727.4008444699	130727.4008444699	130727.4008444699	0.0	15	21371.466379390087	21371.466379390087	21371.466379390087	0.0	15	23963322.121717136	23963322.121717136	23963322.121717136	0.0	15	-678.767761357209	-678.767761357209	-678.767761357209	0.0	15	-516.5518193477586	-516.5518193477586	-516.5518193477586	0.0	15	15748.93457544339	15748.93457544339	15748.93457544339	0.0	15	1318.7929209381787	1318.7929209381787	1318.7929209381787	0.0	14	1365.113231076157	1365.113231076157	1365.113231076157	0.0	14	1509.365651938244	1509.365651938244	1509.365651938244	0.0	15	15928.616152421746	15928.616152421746	15928.616152421746	0.0	15	16740.717826467655	16740.717826467655	16740.717826467655	0.0	15	203.48170341041236	203.48170341041236	203.48170341041236	0.0	5	2292.0590527105296	2292.0590527105296	2292.0590527105296	0.0	14	2414.3717248025364	2414.3717248025364	2414.3717248025364	0.0	15	1775970.1448039734	1775970.1448039734	1775970.1448039734	0.0	14	624.9999999999999	624.9999999999999	624.9999999999999	0.0	6	5323.287531599539	5323.287531599539	5323.287531599539	0.0	14	18430.04473197014	18430.04473197014	18430.04473197014	0.0	15	17878.49882637166	17878.49882637166	17878.49882637166	0.0	15	1584.5934538687325	1584.5934538687325	1584.5934538687325	0.0	14	1768.0022309583906	1768.0022309583906	1768.0022309583906	0.0	14	1872.2648439500656	1872.2648439500656	1872.2648439500656	0.0	14	4818.617676900579	4818.617676900579	4818.617676900579	0.0	14	15350.537709797696	15350.537709797696	15350.537709797696	0.0	15	13.928571428571429
9	AGWO	104484.79242863863	104484.79242863863	104484.79242863863	0.0	15	3208881148.583296	3208881148.583296	3208881148.583296	0.0	14	2.716812014663491e+18	2.716812014663491e+18	2.716812014663491e+18	0.0	13	161964.53461255142	161964.53461255142	161964.53461255142	0.0	11	82287.89756690744	82287.89756690744	82287.89756690744	0.0	14	17047.311299559857	17047.311299559857	17047.311299559857	0.0	14	1151190.9679860196	1151190.9679860196	1151190.9679860196	0.0	14	-678.9161558558529	-678.9161558558529	-678.9161558558529	0.0	2	-516.914123939118	-516.914123939118	-516.914123939118	0.0	14	15611.068695025417	15611.068695025417	15611.068695025417	0.0	14	1439.3038366905566	1439.3038366905566	1439.3038366905566	0.0	15	1380.6319016973755	1380.6319016973755	1380.6319016973755	0.0	15	1429.1824906963	1429.1824906963	1429.1824906963	0.0	14	15798.330972468248	15798.330972468248	15798.330972468248	0.0	14	16042.257323002497	16042.257323002497	16042.257323002497	0.0	14	204.97846219134382	204.97846219134382	204.97846219134382	0.0	15	2320.929713254524	2320.929713254524	2320.929713254524	0.0	15	2410.9440323598897	2410.9440323598897	2410.9440323598897	0.0	14	928408.0063290957	928408.0063290957	928408.0063290957	0.0	12	624.9999999982862	624.9999999982862	624.9999999982862	0.0	3	5291.781873015266	5291.781873015266	5291.781873015266	0.0	13	17323.13323686294	17323.13323686294	17323.13323686294	0.0	14	17277.41301997795	17277.41301997795	17277.41301997795	0.0	14	1584.5934538687325	1584.5934538687325	1584.5934538687325	0.0	14	1768.0022309583906	1768.0022309583906	1768.0022309583906	0.0	14	1872.2648439500656	1872.2648439500656	1872.2648439500656	0.0	14	4818.617676900579	4818.617676900579	4818.617676900579	0.0	14	13790.979148221923	13790.979148221923	13790.979148221923	0.0	14	13.107142857142858
