	Algorithm	F1	WS_F1	BS_F1	STD_F1	Rank F1	F2	WS_F2	BS_F2	STD_F2	Rank F2	F3	WS_F3	BS_F3	STD_F3	Rank F3	F4	WS_F4	BS_F4	STD_F4	Rank F4	F5	WS_F5	BS_F5	STD_F5	Rank F5	F6	WS_F6	BS_F6	STD_F6	Rank F6	F7	WS_F7	BS_F7	STD_F7	Rank F7	F8	WS_F8	BS_F8	STD_F8	Rank F8	F9	WS_F9	BS_F9	STD_F9	Rank F9	F10	WS_F10	BS_F10	STD_F10	Rank F10	F11	WS_F11	BS_F11	STD_F11	Rank F11	F12	WS_F12	BS_F12	STD_F12	Rank F12	F13	WS_F13	BS_F13	STD_F13	Rank F13	F14	WS_F14	BS_F14	STD_F14	Rank F14	F15	WS_F15	BS_F15	STD_F15	Rank F15	F16	WS_F16	BS_F16	STD_F16	Rank F16	F17	WS_F17	BS_F17	STD_F17	Rank F17	F18	WS_F18	BS_F18	STD_F18	Rank F18	F19	WS_F19	BS_F19	STD_F19	Rank F19	F20	WS_F20	BS_F20	STD_F20	Rank F20	F21	WS_F21	BS_F21	STD_F21	Rank F21	F22	WS_F22	BS_F22	STD_F22	Rank F22	F23	WS_F23	BS_F23	STD_F23	Rank F23	F24	WS_F24	BS_F24	STD_F24	Rank F24	F25	WS_F25	BS_F25	STD_F25	Rank F25	F26	WS_F26	BS_F26	STD_F26	Rank F26	F27	WS_F27	BS_F27	STD_F27	Rank F27	F28	WS_F28	BS_F28	STD_F28	Rank F28	Avg Rank
0	GWO	25305.72004830301	25305.720048303006	25305.720048303006	3.637978807091713e-12	5	155568213.75164434	155568213.75164434	155568213.75164434	0.0	2	343855275250.4076	343855275250.4076	343855275250.4076	0.0	9	67438.54640747621	67438.54640747621	67438.54640747621	0.0	3	3425.1309471395043	3425.1309471395043	3425.1309471395043	0.0	9	1262.9816750737475	1262.9816750737473	1262.9816750737473	2.2737367544323206e-13	9	-454.06610239106294	-454.06610239106294	-454.06610239106294	0.0	3	-678.8654266053628	-678.8654266053628	-678.8654266053628	0.0	2	-532.3616765327297	-532.3616765327297	-532.3616765327297	0.0	8	3111.94316625466	3111.94316625466	3111.94316625466	0.0	7	588.4397808328778	588.4397808328778	588.4397808328778	0.0	9	619.8508750289814	619.8508750289814	619.8508750289814	0.0	8	781.6302536369888	781.6302536369888	781.6302536369888	0.0	5	10826.39311647171	10826.393116471712	10826.393116471712	1.8189894035458565e-12	5	14648.668581795157	14648.668581795158	14648.668581795158	1.8189894035458565e-12	11	203.81204986774355	203.81204986774355	203.81204986774355	0.0	8	1433.8747578793932	1433.8747578793932	1433.8747578793932	0.0	5	1465.5500831839404	1465.5500831839406	1465.5500831839406	2.2737367544323206e-13	4	26483.023961545736	26483.02396154574	26483.02396154574	3.637978807091713e-12	10	624.4993784635343	624.4993784635343	624.4993784635343	0.0	4	4369.9945932280025	4369.9945932280025	4369.9945932280025	0.0	6	13887.322824469218	14087.802234944267	12083.008130193772	601.4382314251487	8	14256.437592304199	14256.437592304197	14256.437592304197	1.8189894035458565e-12	6	1381.298380494653	1381.298380494653	1381.298380494653	0.0	7	1472.7105286731207	1472.7105286731207	1472.7105286731207	0.0	3	1660.1308849899476	1660.1308849899476	1660.1308849899476	0.0	1	3286.5817025774304	3286.5817025774304	3286.5817025774304	0.0	2	10010.326111772152	10010.326111772152	10010.326111772152	0.0	9	6.0
1	EEGWO	21650.58372946301	30915.562161477294	12919.129103789066	5359.811701231448	4	224523635.03701386	331985539.8642121	121718305.68035309	61007196.12737709	8	107510448407.23245	237769911794.26144	37937876745.18968	52734753078.38996	2	61025.763350856745	74843.49079733813	50180.45045893935	6846.29237922431	1	2071.6661508773964	3163.0664101450684	1120.391921125246	551.1316481878359	5	341.29430535086294	736.8937968665234	-189.92965613238323	231.01405612523936	4	-422.2385906682739	244.66827905213722	-651.8051356111828	241.40467169514758	5	-678.8144581853203	-678.7484010115181	-678.8969669853794	0.04089035604065851	10	-533.936396291156	-528.0372142354154	-541.5146795413626	3.6084482225278762	6	2098.59745232556	3297.841906283914	1295.231809154868	620.3207233968192	3	480.8330696261078	550.0152029464203	390.1164287098811	53.73801632495823	3	613.4174789777612	792.2969438065502	564.9404404920213	65.20052082433881	7	759.1903191650574	863.5561596665266	568.3861606163537	104.16224551136594	3	13311.464891332731	14427.457074093367	9651.942213868857	1332.8316912213177	12	14419.821260683853	15260.137729094771	12160.99298179363	810.8498140111544	10	203.820221156365	204.52090280709746	203.32830528683283	0.3504287962067973	9	1418.9937661238305	1551.7217195320466	1253.0953519441314	82.30386080063744	3	1476.5150523902912	1639.7603628540523	1337.981070398333	92.58572942457312	5	20429.179789111615	37505.64926727896	8551.573116603038	8416.02693365804	8	624.25988861582	624.5798697941042	623.7880710817791	0.2255904372265206	2	4206.67509766147	4367.571498182995	3891.0534373628525	138.5401420578572	2	15710.748828221718	16672.242505862352	14992.764950918146	581.844361334022	12	15186.188061127492	15951.625154784822	13103.755558643497	867.7713264369469	10	1387.9050361296795	1408.9302393493904	1378.1101325310337	8.502635328005958	10	1482.386177846758	1498.2901218135814	1461.3819915413105	8.927010986094082	8	1675.7041903484028	1692.1441912910072	1667.765596638404	6.83286525377821	6	3373.5519124504876	3472.503530222858	3217.9924626499005	103.52066243387159	6	8422.975949698777	9012.28589352433	7715.236528366653	448.8951137402022	1	5.892857142857143
2	IGWO	30830.158326909335	30830.15832690933	30830.15832690933	3.637978807091713e-12	9	196638233.58060887	196638233.58060887	196638233.58060887	0.0	6	130577619632.9556	130577619632.95558	130577619632.95558	1.52587890625e-05	3	67852.79068118139	67852.79068118139	67852.79068118139	0.0	4	1777.5111090010207	1777.5111090010205	1777.5111090010205	2.2737367544323206e-13	4	507.3680306124308	507.36803061243086	507.36803061243086	5.684341886080802e-14	6	-457.7292418155515	-457.7292418155516	-457.7292418155516	5.684341886080802e-14	2	-678.8015012134384	-678.8015012134384	-678.8015012134384	0.0	14	-536.4485449628974	-536.4485449628974	-536.4485449628974	0.0	3	4570.259216103632	4570.259216103633	4570.259216103633	9.094947017729282e-13	9	486.9497740211856	486.9497740211856	486.9497740211856	0.0	4	629.8153195992306	629.8153195992306	629.8153195992306	0.0	9	830.7221585868741	830.7221585868742	830.7221585868742	1.1368683772161603e-13	6	11808.29867435868	11808.29867435868	11808.29867435868	0.0	10	14049.372092998648	14049.372092998648	14049.372092998648	0.0	8	203.85569855162026	203.8556985516203	203.8556985516203	2.842170943040401e-14	10	1464.657501318898	1464.6575013188983	1464.6575013188983	2.2737367544323206e-13	7	1493.888672342613	1493.888672342613	1493.888672342613	0.0	6	15409.335959382594	15409.335959382595	15409.335959382595	1.8189894035458565e-12	5	624.5226090346225	624.5226090346226	624.5226090346226	1.1368683772161603e-13	6	4343.7177355063195	4343.7177355063195	4343.7177355063195	0.0	4	12300.560029540236	12300.560029540235	12300.560029540235	1.8189894035458565e-12	2	13621.34606029641	13621.346060296411	13621.346060296411	1.8189894035458565e-12	4	1382.6275957195503	1382.6275957195503	1382.6275957195503	0.0	8	1476.2466920763256	1476.2466920763256	1476.2466920763256	0.0	5	1674.2524676470643	1674.2524676470643	1674.2524676470643	0.0	5	3332.7150464592187	3332.7150464592187	3332.7150464592187	0.0	4	9616.288349167244	9616.288349167244	9616.288349167244	0.0	6	6.035714285714286
3	NGWO	74530.12213175031	74530.12213175031	74530.12213175031	0.0	12	1795924122.1290996	1795924122.1290996	1795924122.1290996	0.0	13	1138897351609516.5	1138897351609516.8	1138897351609516.8	0.25	12	141578.14281496772	141578.14281496772	141578.14281496772	0.0	14	19708.24618207622	19708.246182076215	19708.246182076215	3.637978807091713e-12	13	5152.940653399885	5152.940653399885	5152.940653399885	0.0	12	26730.121547443607	26730.121547443607	26730.121547443607	0.0	12	-678.77893719291	-678.7789371929099	-678.7789371929099	1.1368683772161603e-13	15	-527.0892067551231	-527.0892067551231	-527.0892067551231	0.0	11	11286.76121071128	11286.76121071128	11286.76121071128	0.0	13	938.087173376232	938.0871733762319	938.0871733762319	1.1368683772161603e-13	15	1256.712093347447	1256.712093347447	1256.712093347447	0.0	15	1187.7674776085605	1187.7674776085605	1187.7674776085605	0.0	15	14709.077531454339	14709.077531454343	14709.077531454343	3.637978807091713e-12	13	14003.178411511912	14003.178411511912	14003.178411511912	0.0	7	203.69082893303374	203.6908289330337	203.6908289330337	2.842170943040401e-14	5	1701.4652717387803	1701.4652717387803	1701.4652717387803	0.0	11	1769.6989751868703	1769.6989751868703	1769.6989751868703	0.0	13	933932.4520019179	933932.452001918	933932.452001918	1.1641532182693481e-10	13	624.537426136151	624.5374261361509	624.5374261361509	1.1368683772161603e-13	7	5415.705326489542	5415.705326489542	5415.705326489542	0.0	15	17096.93241674002	17096.93241674002	17096.93241674002	0.0	13	14914.345973021764	14914.345973021766	14914.345973021766	1.8189894035458565e-12	9	1418.361089380322	1418.361089380322	1418.361089380322	0.0	13	1508.3926814321183	1508.3926814321183	1508.3926814321183	0.0	12	1735.2581578756076	1735.2581578756076	1735.2581578756076	0.0	12	4228.733430317121	4228.733430317121	4228.733430317121	0.0	13	12547.876518937037	12547.876518937039	12547.876518937039	1.8189894035458565e-12	13	12.178571428571429
4	LFGWO	25554.28795355396	25554.28795355396	25554.28795355396	0.0	6	166858322.26714253	166858322.26714253	166858322.26714253	0.0	3	133922953313.4653	133922953313.46532	133922953313.46532	1.52587890625e-05	4	77111.05302800551	77111.05302800551	77111.05302800551	0.0	10	2580.7319155525884	2580.7319155525884	2580.7319155525884	0.0	7	547.545532559001	547.545532559001	547.545532559001	0.0	7	-432.7117699488823	-432.7117699488823	-432.7117699488823	0.0	4	-678.8101617132372	-678.8101617132373	-678.8101617132373	1.1368683772161603e-13	11	-538.6593659032451	-538.6593659032451	-538.6593659032451	0.0	2	4355.180530855149	4355.180530855149	4355.180530855149	0.0	8	491.91869631001765	491.9186963100177	491.9186963100177	5.684341886080802e-14	5	612.7841564587654	612.7841564587656	612.7841564587656	1.1368683772161603e-13	6	883.1510734639726	883.1510734639726	883.1510734639726	0.0	10	11025.981309583945	11025.981309583945	11025.981309583945	0.0	7	11221.639916068187	11221.639916068185	11221.639916068185	1.8189894035458565e-12	2	204.02169400708414	204.02169400708414	204.02169400708414	0.0	11	1520.186190767361	1520.186190767361	1520.186190767361	0.0	10	1371.3996802173006	1371.3996802173006	1371.3996802173006	0.0	1	15127.23010259611	15127.23010259611	15127.23010259611	0.0	4	624.5620098583934	624.5620098583934	624.5620098583934	0.0	8	4651.37598030691	4651.37598030691	4651.37598030691	0.0	10	13465.72866697676	13465.72866697676	13465.72866697676	0.0	7	13129.098574584688	13129.098574584688	13129.098574584688	0.0	2	1378.5401212856991	1378.5401212856991	1378.5401212856991	0.0	6	1478.1694362525593	1478.1694362525593	1478.1694362525593	0.0	7	1669.640154157391	1669.640154157391	1669.640154157391	0.0	2	3399.869021000896	3399.869021000896	3399.869021000896	0.0	8	8964.664683196363	8964.664683196363	8964.664683196363	0.0	3	6.107142857142857
5	AgGWO	16453.48373792176	26510.987103530966	10572.482228459268	5478.564674705971	3	223571556.86887115	311461329.17109376	158330596.78651485	47306215.797507614	7	150418079054.30017	211993778200.2425	90042217897.69466	37196919061.09894	5	68649.37048667557	75521.72830754712	63120.401852988805	4561.750174963122	6	1141.5225668587332	2131.9576756219894	-4.108932580499754	569.3907675511263	3	196.10772742115617	778.046131142245	-138.5127322703794	240.49022072337613	3	609.6835639437888	4086.215087630184	-538.1328398655511	1324.5308277437705	9	-678.8303693134035	-678.7675665735918	-678.9090970235611	0.048424277973869126	5	-534.1362288574217	-528.3400182971288	-541.8171526476816	4.599613028472821	5	1698.2309223302473	1959.9464995346307	948.0569004731735	286.3693320971928	2	528.1831938047601	596.5785104766112	465.1397697612223	42.65648116044416	7	599.2837937190205	658.7623686541791	511.2734234265995	45.33258360725091	5	738.3300443557312	810.9102906902607	674.4135864389602	38.1858037903325	2	10734.181224526086	11423.14608811147	9531.948879570376	609.7275148417435	4	12789.425102155983	13487.321954831245	11529.857863283347	669.6477640520641	4	203.7705766265818	204.190658500849	203.3409485620564	0.29962223763447987	7	1433.3725804138687	1497.6002399380923	1367.6444202845844	41.40549228954347	4	1561.325732216327	1648.616263146701	1466.0519163645006	55.62055879290771	9	10433.484940236933	26258.910087210817	4240.72133328302	5789.871188853066	3	624.5666508261438	624.9420806120671	624.1238156900307	0.18755027709728553	9	4352.9759513600875	4639.955843005843	4059.3124121757255	163.69373347198317	5	12472.908242732574	13318.0473425338	11192.003889275613	649.6289688349046	3	13529.315085571288	14548.465935782984	12342.64761231406	814.24432880144	3	1376.289153775438	1384.3616217128817	1362.0249575713367	5.550607060163984	4	1482.6728984553397	1493.1938007157453	1473.9535401265584	5.561189740127425	9	1675.8842420605754	1684.0899512947635	1661.0016352469797	6.932537800213721	7	3409.411706516694	3513.9425545455415	3287.0636454332134	74.57508338522084	9	9227.385070102375	9599.124821420755	8605.775421244816	320.5927314515825	4	5.214285714285714
6	VMGWO	34750.78557815349	34750.78557815349	34750.78557815349	0.0	10	171889708.37697735	171889708.37697732	171889708.37697732	2.9802322387695312e-08	5	607685616655.952	607685616655.952	607685616655.952	0.0	10	76547.8484780319	76547.84847803188	76547.84847803188	1.4551915228366852e-11	9	2649.756861621205	2649.756861621205	2649.756861621205	0.0	8	956.3073101485076	956.3073101485074	956.3073101485074	1.1368683772161603e-13	8	1037.5662102106683	1037.566210210668	1037.566210210668	2.2737367544323206e-13	10	-678.8224607720193	-678.8224607720193	-678.8224607720193	0.0	8	-539.5692062118594	-539.5692062118593	-539.5692062118593	1.1368683772161603e-13	1	2930.7239397380986	2930.7239397380986	2930.7239397380986	0.0	6	500.8972715392727	500.89727153927265	500.89727153927265	5.684341886080802e-14	6	696.4203118337472	696.4203118337472	696.4203118337472	0.0	10	868.3728881269159	868.3728881269158	868.3728881269158	1.1368683772161603e-13	8	11000.402799819116	11000.402799819116	11000.402799819116	0.0	6	14060.271862879215	14060.271862879215	14060.271862879215	0.0	9	204.19868796151658	204.1986879615166	204.1986879615166	2.842170943040401e-14	12	1514.1141806731853	1514.1141806731853	1514.1141806731853	0.0	9	1577.2350717295944	1577.2350717295947	1577.2350717295947	2.2737367544323206e-13	10	23868.976691818298	23868.976691818298	23868.976691818298	0.0	9	624.6362700619844	624.6362700619843	624.6362700619843	1.1368683772161603e-13	11	4544.303724310905	4544.303724310905	4544.303724310905	0.0	7	12779.412589326643	12779.412589326641	12779.412589326641	1.8189894035458565e-12	5	14650.23771002587	14650.237710025871	14650.237710025871	1.8189894035458565e-12	7	1378.2539604627816	1378.2539604627816	1378.2539604627816	0.0	5	1464.8722404931148	1464.872240493115	1464.872240493115	2.2737367544323206e-13	1	1685.310261318465	1685.310261318465	1685.310261318465	0.0	9	3332.7329787273216	3332.7329787273216	3332.7329787273216	0.0	5	10002.71047305319	10002.710473053192	10002.710473053192	1.8189894035458565e-12	8	7.571428571428571
7	TLFGWO	78434.57528153155	78434.57528153155	78434.57528153155	0.0	14	1259474754.625778	1259474754.625778	1259474754.625778	0.0	12	1.0287254402374556e+16	1.0287254402374554e+16	1.0287254402374554e+16	2.0	13	93724.19139389916	93724.19139389916	93724.19139389916	0.0	11	16424.446549653738	16424.446549653734	16424.446549653734	3.637978807091713e-12	12	8773.131540521556	8773.131540521556	8773.131540521556	0.0	13	40298.67001293546	40298.67001293546	40298.67001293546	0.0	14	-678.8199891156535	-678.8199891156535	-678.8199891156535	0.0	9	-522.7831500940867	-522.7831500940869	-522.7831500940869	1.1368683772161603e-13	13	9280.415668761027	9280.415668761027	9280.415668761027	0.0	11	666.8739667367872	666.8739667367872	666.8739667367872	0.0	11	1094.4078986440952	1094.4078986440954	1094.4078986440954	2.2737367544323206e-13	13	1086.4139943862424	1086.4139943862422	1086.4139943862422	2.2737367544323206e-13	12	10672.588688755523	10672.588688755523	10672.588688755523	0.0	3	15156.345920601123	15156.345920601121	15156.345920601121	1.8189894035458565e-12	13	203.30332541031083	203.3033254103108	203.3033254103108	2.842170943040401e-14	1	1721.451562605711	1721.451562605711	1721.451562605711	0.0	12	1753.5465671221834	1753.5465671221837	1753.5465671221837	2.2737367544323206e-13	12	982910.0494091794	982910.0494091795	982910.0494091795	1.1641532182693481e-10	14	624.9997038406443	624.9997038406442	624.9997038406442	1.1368683772161603e-13	12	5247.185590633499	5247.185590633499	5247.185590633499	0.0	12	15428.328634531432	15428.328634531432	15428.328634531432	0.0	11	16714.571150738273	16714.571150738273	16714.571150738273	0.0	13	1409.4614104529321	1409.4614104529321	1409.4614104529321	0.0	11	1515.37125843962	1515.37125843962	1515.37125843962	0.0	13	1754.4617376449628	1754.4617376449626	1754.4617376449626	2.2737367544323206e-13	13	3897.214464525844	3897.2144645258445	3897.2144645258445	4.547473508864641e-13	12	12049.045827013731	12049.045827013731	12049.045827013731	0.0	11	11.464285714285714
8	IGWO_DSR	77466.01723033222	77466.01723033222	77466.01723033222	0.0	13	4496830378.813937	4496830378.813938	4496830378.813938	9.5367431640625e-07	15	3.3094351280631576e+16	3.3094351280631584e+16	3.3094351280631584e+16	8.0	14	208004.18068364594	208004.18068364597	208004.18068364597	2.9103830456733704e-11	15	23229.33589946568	23229.33589946568	23229.33589946568	0.0	14	9100.952312430218	9100.952312430218	9100.952312430218	0.0	14	104573.0454787122	104573.0454787122	104573.0454787122	0.0	15	-678.8287589351339	-678.8287589351339	-678.8287589351339	0.0	6	-520.0747358725697	-520.0747358725698	-520.0747358725698	1.1368683772161603e-13	14	14020.06961870586	14020.06961870586	14020.06961870586	0.0	15	919.2631485911372	919.2631485911372	919.2631485911372	0.0	14	1057.3590405937048	1057.3590405937048	1057.3590405937048	0.0	12	1179.5574344631973	1179.5574344631973	1179.5574344631973	0.0	13	16640.965587290637	16640.965587290637	16640.965587290637	0.0	15	16229.404593581634	16229.404593581636	16229.404593581636	1.8189894035458565e-12	14	205.62043228477552	205.62043228477552	205.62043228477552	0.0	15	1791.3373136710502	1791.3373136710502	1791.3373136710502	0.0	15	1866.1556393461983	1866.155639346198	1866.155639346198	2.2737367544323206e-13	15	1606737.2261643284	1606737.2261643284	1606737.2261643284	0.0	15	624.999999995716	624.9999999957159	624.9999999957159	1.1368683772161603e-13	15	5323.287531599539	5323.287531599539	5323.287531599539	0.0	14	18430.04473197014	18430.04473197014	18430.04473197014	0.0	15	17878.49882637166	17878.49882637166	17878.49882637166	0.0	15	1584.5934538687325	1584.5934538687325	1584.5934538687325	0.0	14	1768.0022309583906	1768.0022309583906	1768.0022309583906	0.0	14	1872.2648439500656	1872.2648439500656	1872.2648439500656	0.0	14	4818.617676900578	4818.617676900579	4818.617676900579	9.094947017729282e-13	14	15350.537709797698	15350.537709797696	15350.537709797696	1.8189894035458565e-12	15	14.035714285714286
9	AGWO	83122.66211278817	83122.66211278817	83122.66211278817	0.0	15	3744630378.1648345	3744630378.164835	3744630378.164835	4.76837158203125e-07	14	3.3094351280631576e+16	3.3094351280631584e+16	3.3094351280631584e+16	8.0	14	119982.13580955619	119982.13580955619	119982.13580955619	0.0	13	24538.64108436196	24538.641084361956	24538.641084361956	3.637978807091713e-12	15	9432.190209683864	9432.190209683866	9432.190209683866	1.8189894035458565e-12	15	27589.09516602163	27589.095166021634	27589.095166021634	3.637978807091713e-12	13	-678.8598277619487	-678.8598277619487	-678.8598277619487	0.0	4	-519.8310483877173	-519.8310483877171	-519.8310483877171	1.1368683772161603e-13	15	13984.830815032354	13984.830815032354	13984.830815032354	0.0	14	799.767727828553	799.767727828553	799.767727828553	0.0	13	1136.0608769995924	1136.0608769995924	1136.0608769995924	0.0	14	1187.7326480115466	1187.7326480115469	1187.7326480115469	2.2737367544323206e-13	14	16385.938244294426	16385.938244294422	16385.938244294422	3.637978807091713e-12	14	16564.80984308042	16564.809843080424	16564.809843080424	3.637978807091713e-12	15	204.2019956607009	204.20199566070087	204.20199566070087	2.842170943040401e-14	13	1753.2673626925339	1753.2673626925339	1753.2673626925339	0.0	13	1844.0039498170984	1844.0039498170984	1844.0039498170984	0.0	14	616297.8271683075	616297.8271683076	616297.8271683076	1.1641532182693481e-10	12	624.9999999882823	624.9999999882824	624.9999999882824	1.1368683772161603e-13	14	5291.781873015266	5291.781873015266	5291.781873015266	0.0	13	17323.133236862945	17323.13323686294	17323.13323686294	3.637978807091713e-12	14	17277.41301997795	17277.41301997795	17277.41301997795	0.0	14	1584.5934538687325	1584.5934538687325	1584.5934538687325	0.0	14	1768.0022309583906	1768.0022309583906	1768.0022309583906	0.0	14	1872.2648439500656	1872.2648439500656	1872.2648439500656	0.0	14	4818.617676900578	4818.617676900579	4818.617676900579	9.094947017729282e-13	14	13790.979148221924	13790.979148221923	13790.979148221923	1.8189894035458565e-12	14	13.535714285714286
